time,mag,mag_err,Band,source
1382400,17.99,0.05,g,arXiV:2101.0943
1382400,18.08,0.06,g,arXiV:2101.0943
1555200,18.04,0.01,g,arXiV:2101.0943
1641600,18.18,0.01,g,arXiV:2101.0943
1728000,18.25,0.07,g,arXiV:2101.0943
1728000,18.27,0.07,g,arXiV:2101.0943
2073600,0,0,g,arXiV:2101.0943
2073600,0,0,g,arXiV:2101.0943
2592000,18.76,0.1,g,arXiV:2101.0943
2937600,18.51,0.08,g,arXiV:2101.0943
3024000,18.6,0.13,g,arXiV:2101.0943
3369600,18.55,0.13,g,arXiV:2101.0943
3628800,19.01,0.07,g,arXiV:2101.0943
3628800,18.9,0.06,g,arXiV:2101.0943
3715200,18.94,0.06,g,arXiV:2101.0943
3715200,18.88,0.07,g,arXiV:2101.0943
3801600,19.09,0.01,g,arXiV:2101.0943
4060800,19.04,0.06,g,arXiV:2101.0943
4060800,19.14,0.06,g,arXiV:2101.0943
4060800,18.94,0.06,g,arXiV:2101.0943
4060800,18.99,0.06,g,arXiV:2101.0943
4060800,18.96,0.07,g,arXiV:2101.0943
4060800,18.73,0.01,g,arXiV:2101.0943
4147200,0,0,g,arXiV:2101.0943
4147200,0,0,g,arXiV:2101.0943
4838400,19.07,0.03,g,arXiV:2101.0943
4838400,19.18,0.03,g,arXiV:2101.0943
5529600,0,0,g,arXiV:2101.0943
5529600,0,0,g,arXiV:2101.0943
6307200,19.23,0.12,g,arXiV:2101.0943
6307200,0,0,g,arXiV:2101.0943
6566400,19.35,0.03,g,arXiV:2101.0943
6566400,19.29,0.03,g,arXiV:2101.0943
7344000,19.41,0.04,g,arXiV:2101.0943
7344000,19.39,0.04,g,arXiV:2101.0943
8208000,0,0,g,arXiV:2101.0943
8208000,0,0,g,arXiV:2101.0943
8812800,19.75,0.05,g,arXiV:2101.0943
8812800,19.89,0.05,g,arXiV:2101.0943
8899200,20.08,0.03,g,arXiV:2101.0943
9244800,19.69,0.02,g,arXiV:2101.0943
9590400,20.06,0.09,g,arXiV:2101.0943
9590400,19.85,0.06,g,arXiV:2101.0943
9763200,19.88,0.05,g,arXiV:2101.0943
9763200,19.87,0.05,g,arXiV:2101.0943
10454400,20.24,0.19,g,arXiV:2101.0943
10454400,19.54,0.12,g,arXiV:2101.0943
11145600,20.13,0.06,g,arXiV:2101.0943
11145600,20.21,0.08,g,arXiV:2101.0943
11318400,20.08,0.03,g,arXiV:2101.0943
11577600,20.03,0.19,g,arXiV:2101.0943
11923200,20.35,0.09,g,arXiV:2101.0943
11923200,20.28,0.08,g,arXiV:2101.0943
12009600,20.33,0.08,g,arXiV:2101.0943
12009600,20.23,0.08,g,arXiV:2101.0943
12787200,20.34,0.03,g,arXiV:2101.0943
32918400,0,0,g,arXiV:2101.0943
0,16.03,0.03,i,arXiV:2101.0943
0,16.02,0.03,i,arXiV:2101.0943
259200,15.81,0.02,i,arXiV:2101.0943
259200,15.71,0.03,i,arXiV:2101.0943
604800,16.04,0.13,i,arXiV:2101.0943
604800,15.96,0.06,i,arXiV:2101.0943
1123200,16.3,0.04,i,arXiV:2101.0943
1123200,16.35,0.03,i,arXiV:2101.0943
1209600,16.61,0.02,i,arXiV:2101.0943
1382400,16.45,0.03,i,arXiV:2101.0943
1382400,16.36,0.03,i,arXiV:2101.0943
1555200,16.78,0.01,i,arXiV:2101.0943
1641600,16.86,0.04,i,arXiV:2101.0943
1728000,16.43,0.04,i,arXiV:2101.0943
1728000,16.5,0.03,i,arXiV:2101.0943
2073600,16.67,0.04,i,arXiV:2101.0943
2073600,16.63,0.04,i,arXiV:2101.0943
2592000,16.79,0.05,i,arXiV:2101.0943
2937600,16.93,0.05,i,arXiV:2101.0943
3024000,17.11,0.06,i,arXiV:2101.0943
3369600,17.34,0.11,i,arXiV:2101.0943
3628800,17.26,0.06,i,arXiV:2101.0943
3628800,17.42,0.05,i,arXiV:2101.0943
3715200,17.29,0.04,i,arXiV:2101.0943
3715200,17.35,0.04,i,arXiV:2101.0943
3801600,17.46,0.06,i,arXiV:2101.0943
4060800,17.39,0.04,i,arXiV:2101.0943
4060800,0,0,i,arXiV:2101.0943
4060800,0,0,i,arXiV:2101.0943
4060800,0,0,i,arXiV:2101.0943
4060800,0,0,i,arXiV:2101.0943
4060800,17.6,0.03,i,arXiV:2101.0943
4147200,17.37,0.04,i,arXiV:2101.0943
4147200,0,0,i,arXiV:2101.0943
4838400,17.57,0.04,i,arXiV:2101.0943
4838400,17.49,0.03,i,arXiV:2101.0943
5529600,17.49,0.1,i,arXiV:2101.0943
5529600,17.71,0.08,i,arXiV:2101.0943
6307200,0,0,i,arXiV:2101.0943
6307200,0,0,i,arXiV:2101.0943
6566400,17.99,0.02,i,arXiV:2101.0943
6566400,17.95,0.02,i,arXiV:2101.0943
7344000,18.22,0.03,i,arXiV:2101.0943
7344000,18.24,0.03,i,arXiV:2101.0943
8208000,18.65,0.14,i,arXiV:2101.0943
8208000,18.37,0.16,i,arXiV:2101.0943
8812800,18.49,0.04,i,arXiV:2101.0943
8812800,18.51,0.03,i,arXiV:2101.0943
8899200,18.28,0.07,i,arXiV:2101.0943
9244800,18.67,0.01,i,arXiV:2101.0943
9590400,18.61,0.05,i,arXiV:2101.0943
9590400,18.64,0.04,i,arXiV:2101.0943
9763200,18.65,0.05,i,arXiV:2101.0943
9763200,18.69,0.04,i,arXiV:2101.0943
10454400,18.68,0.13,i,arXiV:2101.0943
10454400,18.8,0.13,i,arXiV:2101.0943
11145600,18.88,0.07,i,arXiV:2101.0943
11145600,18.92,0.04,i,arXiV:2101.0943
11318400,18.88,0.03,i,arXiV:2101.0943
11577600,19,0.02,i,arXiV:2101.0943
11923200,19.06,0.07,i,arXiV:2101.0943
11923200,0,0,i,arXiV:2101.0943
12009600,19.02,0.08,i,arXiV:2101.0943
12009600,19.22,0.08,i,arXiV:2101.0943
12787200,19.22,0.03,i,arXiV:2101.0943
32918400,0,0,i,arXiV:2101.0943
0,16.17,0.02,r,arXiV:2101.0943
0,16.07,0.02,r,arXiV:2101.0943
259200,15.96,0.01,r,arXiV:2101.0943
259200,16,0.01,r,arXiV:2101.0943
604800,16.13,0.04,r,arXiV:2101.0943
604800,16.11,0.04,r,arXiV:2101.0943
1123200,16.63,0.04,r,arXiV:2101.0943
1123200,16.71,0.04,r,arXiV:2101.0943
1209600,16.84,0.02,r,arXiV:2101.0943
1382400,16.89,0.04,r,arXiV:2101.0943
1382400,16.88,0.03,r,arXiV:2101.0943
1555200,16.6,0.01,r,arXiV:2101.0943
1641600,16.81,0.01,r,arXiV:2101.0943
1728000,16.95,0.03,r,arXiV:2101.0943
1728000,16.97,0.03,r,arXiV:2101.0943
2073600,17.24,0.04,r,arXiV:2101.0943
2073600,0,0,r,arXiV:2101.0943
2592000,17.34,0.06,r,arXiV:2101.0943
2937600,17.43,0.05,r,arXiV:2101.0943
3024000,17.54,0.08,r,arXiV:2101.0943
3369600,0,0,r,arXiV:2101.0943
3628800,17.86,0.04,r,arXiV:2101.0943
3628800,17.77,0.04,r,arXiV:2101.0943
3715200,17.72,0.04,r,arXiV:2101.0943
3715200,17.73,0.05,r,arXiV:2101.0943
3801600,17.9,0.01,r,arXiV:2101.0943
4060800,17.86,0.03,r,arXiV:2101.0943
4060800,17.78,0.04,r,arXiV:2101.0943
4060800,17.86,0.05,r,arXiV:2101.0943
4060800,17.7,0.08,r,arXiV:2101.0943
4060800,17.8,0.04,r,arXiV:2101.0943
4060800,18.03,0.02,r,arXiV:2101.0943
4147200,0,0,r,arXiV:2101.0943
4147200,0,0,r,arXiV:2101.0943
4838400,18.01,0.03,r,arXiV:2101.0943
4838400,18.01,0.03,r,arXiV:2101.0943
5529600,18.25,0.08,r,arXiV:2101.0943
5529600,18.1,0.06,r,arXiV:2101.0943
6307200,0,0,r,arXiV:2101.0943
6307200,0,0,r,arXiV:2101.0943
6566400,18.38,0.03,r,arXiV:2101.0943
6566400,18.37,0.03,r,arXiV:2101.0943
7344000,18.5,0.03,r,arXiV:2101.0943
7344000,18.53,0.03,r,arXiV:2101.0943
8208000,18.64,0.11,r,arXiV:2101.0943
8208000,18.81,0.13,r,arXiV:2101.0943
8812800,18.94,0.05,r,arXiV:2101.0943
8812800,18.93,0.06,r,arXiV:2101.0943
8899200,18.89,0.01,r,arXiV:2101.0943
9244800,19.33,0.01,r,arXiV:2101.0943
9590400,18.95,0.05,r,arXiV:2101.0943
9590400,18.94,0.05,r,arXiV:2101.0943
9763200,19.05,0.03,r,arXiV:2101.0943
9763200,19.05,0.06,r,arXiV:2101.0943
10454400,19.03,0.12,r,arXiV:2101.0943
10454400,19.25,0.12,r,arXiV:2101.0943
11145600,19.27,0.06,r,arXiV:2101.0943
11145600,19.29,0.05,r,arXiV:2101.0943
11318400,19.47,0.02,r,arXiV:2101.0943
11577600,19.64,0.03,r,arXiV:2101.0943
11923200,19.38,0.07,r,arXiV:2101.0943
11923200,19.33,0.06,r,arXiV:2101.0943
12009600,19.34,0.09,r,arXiV:2101.0943
12009600,0,0,r,arXiV:2101.0943
12787200,19.77,0.02,r,arXiV:2101.0943
32918400,20.88,0.04,r,arXiV:2101.0943
0,16.38,0.01,V,arXiV:2101.0943
0,16.32,0.01,V,arXiV:2101.0943
259200,16.23,0.02,V,arXiV:2101.0943
259200,16.21,0.03,V,arXiV:2101.0943
604800,16.39,0.07,V,arXiV:2101.0943
604800,16.33,0.05,V,arXiV:2101.0943
1123200,16.95,0.05,V,arXiV:2101.0943
1123200,16.91,0.05,V,arXiV:2101.0943
1209600,17.02,0.01,V,arXiV:2101.0943
1382400,17.31,0.04,V,arXiV:2101.0943
1382400,17.16,0.03,V,arXiV:2101.0943
1555200,17.29,0.01,V,arXiV:2101.0943
1641600,17.35,0.02,V,arXiV:2101.0943
1728000,17.38,0.05,V,arXiV:2101.0943
1728000,17.41,0.06,V,arXiV:2101.0943
2073600,17.6,0.05,V,arXiV:2101.0943
2073600,0,0,V,arXiV:2101.0943
2592000,17.81,0.08,V,arXiV:2101.0943
2937600,17.81,0.07,V,arXiV:2101.0943
3024000,17.99,0.09,V,arXiV:2101.0943
3369600,17.98,0.12,V,arXiV:2101.0943
3628800,18.07,0.05,V,arXiV:2101.0943
3628800,18.12,0.07,V,arXiV:2101.0943
3715200,18.24,0.05,V,arXiV:2101.0943
3715200,18.24,0.05,V,arXiV:2101.0943
3801600,18.37,0.1,V,arXiV:2101.0943
4060800,18.27,0.04,V,arXiV:2101.0943
4060800,18.18,0.05,V,arXiV:2101.0943
4060800,18.27,0.05,V,arXiV:2101.0943
4060800,0,0,V,arXiV:2101.0943
4060800,0,0,V,arXiV:2101.0943
4060800,18,0.02,V,arXiV:2101.0943
4147200,0,0,V,arXiV:2101.0943
4147200,0,0,V,arXiV:2101.0943
4838400,18.43,0.03,V,arXiV:2101.0943
4838400,18.37,0.03,V,arXiV:2101.0943
5529600,0,0,V,arXiV:2101.0943
5529600,0,0,V,arXiV:2101.0943
6307200,18.5,0.14,V,arXiV:2101.0943
6307200,18.65,0.13,V,arXiV:2101.0943
6566400,18.71,0.03,V,arXiV:2101.0943
6566400,18.68,0.03,V,arXiV:2101.0943
7344000,18.87,0.04,V,arXiV:2101.0943
7344000,18.77,0.04,V,arXiV:2101.0943
8208000,19.03,0.15,V,arXiV:2101.0943
8208000,19.33,0.15,V,arXiV:2101.0943
8812800,19.3,0.06,V,arXiV:2101.0943
8812800,19.31,0.06,V,arXiV:2101.0943
8899200,19.2,0.02,V,arXiV:2101.0943
9244800,19.34,0.01,V,arXiV:2101.0943
9590400,0,0,V,arXiV:2101.0943
9590400,0,0,V,arXiV:2101.0943
9763200,19.48,0.07,V,arXiV:2101.0943
9763200,19.38,0.08,V,arXiV:2101.0943
10454400,19.44,0.15,V,arXiV:2101.0943
10454400,0,0,V,arXiV:2101.0943
11145600,19.55,0.06,V,arXiV:2101.0943
11145600,19.59,0.05,V,arXiV:2101.0943
11318400,19.36,0.02,V,arXiV:2101.0943
11577600,19.76,0.03,V,arXiV:2101.0943
11923200,19.74,0.11,V,arXiV:2101.0943
11923200,19.8,0.1,V,arXiV:2101.0943
12009600,19.78,0.11,V,arXiV:2101.0943
12009600,19.88,0.14,V,arXiV:2101.0943
12787200,20.01,0.02,V,arXiV:2101.0943
32918400,0,0,V,arXiV:2101.0943
0,0,0,z,arXiV:2101.0943
0,0,0,z,arXiV:2101.0943
259200,0,0,z,arXiV:2101.0943
259200,0,0,z,arXiV:2101.0943
604800,0,0,z,arXiV:2101.0943
604800,0,0,z,arXiV:2101.0943
1123200,0,0,z,arXiV:2101.0943
1123200,0,0,z,arXiV:2101.0943
1209600,16.42,0.03,z,arXiV:2101.0943
1382400,0,0,z,arXiV:2101.0943
1382400,0,0,z,arXiV:2101.0943
1555200,16.69,0.06,z,arXiV:2101.0943
1641600,17.09,0.02,z,arXiV:2101.0943
1728000,0,0,z,arXiV:2101.0943
1728000,0,0,z,arXiV:2101.0943
2073600,0,0,z,arXiV:2101.0943
2073600,0,0,z,arXiV:2101.0943
2592000,0,0,z,arXiV:2101.0943
2937600,0,0,z,arXiV:2101.0943
3024000,0,0,z,arXiV:2101.0943
3369600,0,0,z,arXiV:2101.0943
3628800,0,0,z,arXiV:2101.0943
3628800,0,0,z,arXiV:2101.0943
3715200,0,0,z,arXiV:2101.0943
3715200,0,0,z,arXiV:2101.0943
3801600,17.71,0.09,z,arXiV:2101.0943
4060800,0,0,z,arXiV:2101.0943
4060800,0,0,z,arXiV:2101.0943
4060800,0,0,z,arXiV:2101.0943
4060800,0,0,z,arXiV:2101.0943
4060800,0,0,z,arXiV:2101.0943
4060800,17.76,0.06,z,arXiV:2101.0943
4147200,0,0,z,arXiV:2101.0943
4147200,0,0,z,arXiV:2101.0943
4838400,0,0,z,arXiV:2101.0943
4838400,0,0,z,arXiV:2101.0943
5529600,0,0,z,arXiV:2101.0943
5529600,0,0,z,arXiV:2101.0943
6307200,0,0,z,arXiV:2101.0943
6307200,0,0,z,arXiV:2101.0943
6566400,0,0,z,arXiV:2101.0943
6566400,0,0,z,arXiV:2101.0943
7344000,0,0,z,arXiV:2101.0943
7344000,0,0,z,arXiV:2101.0943
8208000,0,0,z,arXiV:2101.0943
8208000,0,0,z,arXiV:2101.0943
8812800,0,0,z,arXiV:2101.0943
8812800,0,0,z,arXiV:2101.0943
8899200,18.12,0.11,z,arXiV:2101.0943
9244800,18.2,0.06,z,arXiV:2101.0943
9590400,0,0,z,arXiV:2101.0943
9590400,0,0,z,arXiV:2101.0943
9763200,0,0,z,arXiV:2101.0943
9763200,0,0,z,arXiV:2101.0943
10454400,0,0,z,arXiV:2101.0943
10454400,0,0,z,arXiV:2101.0943
11145600,0,0,z,arXiV:2101.0943
11145600,0,0,z,arXiV:2101.0943
11318400,18.72,0.06,z,arXiV:2101.0943
11577600,18.89,0.07,z,arXiV:2101.0943
11923200,0,0,z,arXiV:2101.0943
11923200,0,0,z,arXiV:2101.0943
12009600,0,0,z,arXiV:2101.0943
12009600,0,0,z,arXiV:2101.0943
12787200,19.02,0.07,z,arXiV:2101.0943
32918400,0,0,z,arXiV:2101.0943
57025.2,23.01,0.17,r,arXiV:1806.10624
57026.2,23.53,0.26,r,arXiV:1806.10624
57026.2,22.5,0,J,arXiV:1806.10624
57034.3,24.2,0,r,arXiV:1806.10624
57064.3,25.1,0,F160W,arXiV:1806.10624
57064.3,25.6,0,F606W,arXiV:1806.10624
