GRB	photon_index	photon_index_err	trigger_date	trigger_time	T90	z	ra	dec
050502B	2.27	0.03	2005-05-02	09:25:40	17.7	5.2	09:30:10.06	+16:59:46.5
050504	2.6	1.1949999999999998	2005-05-04	08:00:52.5	80.0	n/a	13:24:01.33	+40:42:14.4
050505	2.0	0.06055	2005-05-05	23:22:21	58.9	4.27	09:27:03.35	+30:16:24.3
050509	1.5	0.72	n/a	n/a	n/a	n/a	12:36:13.77	+28:59:03.3
050509A	2.1	0.65	2005-05-09	01:46:29	11.4	n/a	20:42:20.02	+54:04:16.5
050520	0.51	0.955	2005-05-20	00:05:53	80.0	n/a	12:50:05.98	+30:27:04.3
050525	2.0	0.155	2005-05-25	00:02:53	8.8	0.606	18:32:32.64	+26:20:21.7
050603	2.0	0.125	2005-06-03	06:29:05	12.4	2.821	02:39:56.91	-25:10:54.8
050607	2.1	0.13635	2005-06-07	09:11:23	26.4	n/a	20:00:42.79	+09:08:30.8
050701	2.6	0.895	2005-07-01	11:42:59	21.8	n/a	15:09:01.31	-59:24:51.8
050712	2.1	0.09605	2005-07-12	14:00:28	51.6	n/a	05:10:48.06	+64:54:48.5
050713	2.1	0.145	2005-07-13	04:29:02	n/a	n/a	20:31:15.58	+60:56:42.9
050713A	2.1	0.145	2005-07-13	04:29:02	124.7	n/a	21:22:09.21	+77:04:28.8
050714	3.7	0.37	n/a	n/a	n/a	n/a	02:54:23.03	+69:06:45.6
050716	2.0	0.165	2005-07-16	12:36:04	69.1	n/a	22:34:20.78	+38:41:03.4
050717	1.8	0.2	2005-07-17	10:30:52	85.0	n/a	14:17:24.58	-50:32:00.4
050721	1.8	0.1699999999999999	2005-07-21	04:29:14	98.4	n/a	16:53:44.54	-28:22:52.5
050724	1.8	0.12215	2005-07-24	12:34:09	96.0	0.258	16:24:44.32	-27:32:26.8
050726	1.9	0.1051	2005-07-26	05:00:18	49.9	n/a	13:20:11.95	-32:03:51.3
050730	1.6	0.0375	2005-07-30	19:58:23	156.5	3.967	14:08:17.16	-03:46:18.6
050801	1.9	0.15705	2005-08-01	18:28:02	19.4	1.38	13:36:35.32	-21:55:42.7
050802	1.8	0.061	2005-08-02	10:08:02	19.0	1.7102	14:37:05.87	+27:47:11.7
050803	1.9	0.0756	2005-08-03	19:14:00	87.9	n/a	23:22:37.85	+05:47:08.4
050813	n/a	n/a	2005-08-13	06:45:10	0.45	n/a	16:07:56.90	+11:14:57.1
050814	1.9	0.0948499999999999	2005-08-14	11:38:57	150.9	5.77	17:36:45.37	+46:20:21.8
050815	1.7	0.165	2005-08-15	17:25:19	2.9	n/a	19:34:22.99	+09:08:48.2
050819	2.1	0.235	2005-08-19	16:23:55	37.7	2.5043	23:55:01.61	+24:51:39.0
050820	1.9	0.0448999999999999	2005-08-20	06:34:53	n/a	n/a	09:02:25.36	-72:38:43.8
050820A	1.9	0.0448999999999999	2005-08-20	06:34:53	26.0	2.6147	22:29:38.13	+19:33:36.8
050822	2.0	0.11	2005-08-22	03:49:29	103.4	1.434	03:24:27.18	-46:01:59.6
050824	1.9	0.175	2005-08-24	23:12:16	22.6	0.8278	00:48:56.20	+22:36:32.8
050826	2.1	0.25	2005-08-26	06:18:10	35.5	0.297	05:51:01.57	-02:38:36.5
050827	1.8	0.225	2005-08-27	18:57:15	50.0	n/a	04:17:09.58	+18:12:01.2
050904	1.9	0.0521	2005-09-04	01:51:44	174.2	6.29	00:54:50.84	+14:05:09.3
050908	2.9	0.14	2005-09-08	05:42:31	19.4	3.344	01:21:50.70	-12:57:18.3
050915	2.2	0.21	n/a	n/a	n/a	n/a	14:36:25.98	-67:24:33.7
050915A	2.2	0.25	2005-09-15	11:22:42	52.0	2.5273	05:26:44.82	-28:00:59.4
050916	1.7	0.21	2005-09-16	16:35:52	49.5	n/a	09:03:57.18	-51:25:43.3
050922	2.4	0.1	n/a	n/a	n/a	n/a	00:23:13.37	-05:36:17.3
050922C	2.2	0.0944	2005-09-22	19:55:50	4.5	2.198	21:09:33.07	-08:45:30.3
051001	2.0	0.225	2005-10-01	11:11:36	189.1	2.4296	23:23:48.73	-31:31:23.1
051006	2.1	0.285	2005-10-06	20:30:33	34.8	1.059	07:23:14.10	+09:30:19.4
051008	1.9	0.105	2005-10-08	16:33:21	16.0	2.77	13:31:29.57	+42:05:53.6
051012	0.89	2.6	2005-10-12	17:05:54	13.0	n/a	18:02:10.79	-52:47:14.2
051016	1.8	0.125	n/a	n/a	n/a	n/a	08:48:27.83	+13:39:20.3
051016A	3.2	0.36	2005-10-16	05:23:31	23.0	n/a	08:11:16.63	-18:17:52.8
051021	1.8	0.345	n/a	n/a	n/a	n/a	08:24:12.25	-45:32:28.4
051021A	2.0	0.27	2005-10-21	13:21:57	38.0	n/a	01:56:36.31	+09:04:02.9
051022	2.1	0.125	2005-10-22	13:07:58	200.0	0.809	23:56:04.11	+19:36:23.6
051028	2.2	0.35	2005-10-28	13:36:01.47	12.0	3.5	01:48:15.05	+47:45:10.1
051109	2.0	0.215	n/a	n/a	n/a	n/a	23:01:50.36	+38:40:46.7
051109A	2.1	0.0582	2005-11-09	01:12:21	37.2	2.346	22:01:15.32	+40:49:22.9
051111	2.2	0.165	2005-11-11	05:59:41	46.1	1.55	23:12:33.09	+18:22:28.2
051117	1.7	0.4549999999999999	n/a	n/a	n/a	n/a	05:40:43.38	-19:16:27.2
051117A	2.2	0.135	2005-11-17	10:51:20	136.3	n/a	15:13:34.03	+30:52:11.9
051210	2.9	1.09	2005-12-10	05:46:21	1.3	n/a	22:00:41.19	-57:36:49.4
051211	2.1	0.175	n/a	n/a	n/a	n/a	23:02:41.64	+55:04:50.7
051221	2.1	1.15	n/a	n/a	n/a	n/a	20:49:35.33	+53:02:10.6
051221A	2.0	0.13	2005-12-21	01:51:16	1.4	0.5465	21:54:48.61	+16:53:26.4
051227	1.9	0.28	2005-12-27	18:07:16	114.6	n/a	08:20:58.12	+31:55:32.2
060105	2.0	0.08255	2006-01-05	06:49:27	54.4	n/a	19:50:00.69	+46:20:56.0
060108	1.9	0.205	2006-01-08	14:39:12	14.3	2.03	09:48:02.07	+31:55:07.2
060109	2.2	0.155	2006-01-09	16:54:41	115.4	n/a	18:50:43.66	+31:59:27.0
060110	1.8	0.67	2006-01-10	08:01:18	26.0	n/a	04:50:57.76	+28:25:54.7
060111	2.1	0.175	n/a	n/a	n/a	n/a	19:05:42.58	+70:22:33.6
060111A	2.1	0.185	2006-01-11	04:23:06	13.2	2.32	18:24:49.08	+37:36:14.1
060115	2.2	0.0905499999999999	2006-01-15	13:08:01	139.6	3.53	03:36:08.30	+17:20:42.9
060116	2.1	0.33	2006-01-16	08:37:27	105.9	6.6	05:38:46.26	-05:26:13.4
060121	2.2	0.25	2006-01-21	22:24:54.5	2.0	n/a	09:09:52.08	+45:39:46.3
060123	1.8	0.29	2006-01-23	22:22:40	900.0	0.56	11:58:47.89	+45:30:50.9
060124	2.0	0.05895	2006-01-24	15:54:52	710.0	2.296	05:08:25.87	+69:44:26.5
060202	2.5	0.13	2006-02-02	08:40:55	198.9	0.783	02:23:23.01	+38:23:03.3
060203	2.1	0.18	2006-02-03	23:55:35	68.2	n/a	06:54:03.89	+71:48:38.6
060204	2.1	0.1	n/a	n/a	n/a	n/a	14:07:14.99	+27:40:36.6
060206	2.1	0.285	2006-02-06	04:46:53	7.6	4.048	13:31:43.36	+35:03:03.1
060210	2.0	0.0511999999999999	2006-02-10	04:58:50	255.0	3.91	03:50:57.38	+27:01:34.0
060211	1.9	0.2	n/a	n/a	n/a	n/a	05:00:17.17	+14:56:57.6
060211A	1.9	0.15	2006-02-11	09:39:11	126.3	n/a	03:53:32.63	+21:29:19.1
060218	3.4	0.195	2006-02-18	03:34:31	2100.0	0.0331	03:21:39.68	+16:52:01.7
060219	3.0	0.375	2006-02-19	22:48:05	62.1	n/a	16:07:21.51	+32:18:57.5
060223	1.9	0.205	2006-02-23	06:04:24	11.3	4.41	03:40:49.59	-17:07:49.8
060306	2.0	0.11	2006-03-06	00:49:11	61.2	1.559	02:44:22.86	-02:08:54.8
060312	2.0	0.109	2006-03-12	01:36:13	50.6	n/a	03:03:05.92	+12:50:00.8
060313	1.9	0.10205	2006-03-13	00:12:06	0.74	n/a	04:26:28.49	-10:50:41.4
060319	2.1	0.14	2006-03-19	00:55:43	10.6	1.172	11:45:33.03	+60:00:39.1
060322	2.9	1.795	2006-03-22	23:00:21	221.5	n/a	18:16:56.60	-36:42:31.0
060323	1.9	0.25	2006-03-23	14:32:36	25.4	n/a	11:37:45.12	+49:59:07.4
060403	2.1	0.605	2006-04-03	13:12:17	30.1	n/a	18:49:21.62	+08:19:46.0
060413	1.5	0.135	2006-04-13	18:40:23	147.7	n/a	19:25:07.84	+13:45:30.4
060418	2.0	0.145	2006-04-18	03:06:08	103.1	1.489	15:45:42.61	-03:38:20.3
060421	1.5	0.43	2006-04-21	00:39:23	12.2	n/a	22:54:32.89	+62:43:52.8
060427	2.2	0.205	2006-04-27	11:43:11	64.0	n/a	08:17:04.12	+62:40:17.0
060428	2.0	0.11295	n/a	n/a	n/a	n/a	15:41:25.62	+62:01:29.8
060428A	2.0	0.135	2006-04-28	03:22:48	39.5	n/a	08:14:10.88	-37:10:11.7
060501	2.7	2.25	2006-05-01	08:14:59	21.9	n/a	21:53:30.63	+43:59:54.5
060502	2.0	0.125	2006-05-02	03:03:32	n/a	n/a	18:35:45.02	+52:37:52.1
060502A	2.0	0.125	2006-05-02	03:03:32	28.4	1.5026	16:03:42.67	+66:36:02.3
060505	1.6	0.585	2006-05-05	06:36:01	4.0	0.089	22:07:03.30	-27:48:52.7
060507	2.0	0.145	2006-05-07	01:53:12	183.3	n/a	05:59:50.75	+75:14:55.1
060510	2.1	0.175	n/a	n/a	n/a	n/a	15:56:29.22	+78:34:13.5
060510A	2.0	0.0528	2006-05-10	07:43:28	20.4	n/a	06:23:27.96	-01:09:47.0
060512	2.7	0.1273	2006-05-12	23:13:21	8.5	2.1	13:03:05.74	+41:11:27.1
060515	1.7	0.4	2006-05-15	02:27:53	52.0	n/a	08:29:08.87	+73:34:02.1
060522	2.2	0.18	2006-05-22	02:11:19	71.1	5.11	21:31:44.86	+02:53:10.0
060526	1.9	0.0849	2006-05-26	16:28:30	298.2	3.221	15:31:18.34	+00:17:05.5
060602	3.6	0.6799999999999999	n/a	n/a	n/a	n/a	17:49:31.78	-28:08:04.4
060602A	7.0	26.25	2006-06-02	21:32:12	75.0	0.787	09:58:16.65	+00:18:14.7
060604	2.1	0.12	2006-06-04	18:19:00	95.0	2.1357	22:28:55.03	-10:54:56.4
060605	2.0	0.0882	2006-06-05	18:15:45	79.1	3.78	21:28:37.31	-06:03:30.8
060607	1.5	0.05805	2006-06-07	05:12:13	102.2	3.0749	21:58:50.40	-22:29:46.9
060614	1.8	0.08655	2006-06-14	12:43:49	108.7	0.125	21:23:32.13	-53:01:36.4
060707	2.0	0.1176	2006-07-07	21:30:19	66.2	3.425	23:48:18.96	-17:54:18.8
060708	2.1	0.125	2006-07-08	12:15:59	10.2	1.92	00:31:13.80	-33:45:32.3
060712	2.7	0.26	2006-07-12	21:07:44	26.3	n/a	12:16:16.22	+35:32:17.9
060714	2.0	0.11	2006-07-14	15:12:00	115.0	2.711	15:11:26.46	-06:33:59.2
060717	2.9	1.1	2006-07-17	09:07:39	3.0	n/a	11:23:21.61	+28:57:03.5
060719	2.3	0.145	2006-07-19	06:50:37	66.9	1.532	01:13:43.70	-48:22:50.7
060729	2.0	0.0383499999999999	2006-07-29	19:12:29	115.3	0.54	06:21:31.80	-62:22:12.4
060801	1.7	0.25	2006-08-01	12:16:15	0.49	n/a	14:12:01.25	+16:58:55.0
060804	2.2	0.112	2006-08-04	07:28:20	17.8	n/a	07:28:49.29	-27:12:55.6
060805	1.7	0.275	n/a	n/a	n/a	n/a	18:10:05.42	+58:09:18.7
060805A	2.2	0.375	2006-08-05	04:47:49	5.3	n/a	14:43:43.51	+12:35:10.9
060807	2.0	0.105	2006-08-07	14:41:35	54.0	n/a	16:50:02.61	+31:35:30.0
060813	1.9	0.05865	2006-08-13	22:50:23	16.1	n/a	07:27:35.36	-29:50:49.3
060814	2.0	0.07605	2006-08-14	23:02:19	145.3	1.9229	14:45:21.31	+20:35:09.5
060825	1.7	0.26	2006-08-25	02:59:58	8.0	n/a	01:12:29.46	+55:47:50.4
060901	1.9	0.5	2006-09-01	18:44:00	20.0	n/a	19:08:37.83	-06:38:08.2
060904	2.1	0.15	n/a	n/a	n/a	n/a	03:52:50.54	-00:43:30.1
060904A	1.8	0.53	2006-09-04	01:03:21	80.1	2.55	15:50:54.91	+44:59:07.8
060906	2.1	0.15	2006-09-06	08:32:47	43.5	3.686	02:43:00.86	+30:21:42.6
060908	2.1	0.185	2006-09-08	08:57:22	19.3	1.8836	02:07:18.40	+00:20:32.1
060912A	1.8	0.155	2006-09-12	13:55:54	5.0	0.937	00:21:08.11	+20:58:18.5
060919	2.2	0.575	2006-09-19	07:48:39	9.1	n/a	18:27:41.80	-51:00:51.4
060923	2.1	0.3399999999999999	n/a	n/a	n/a	n/a	15:52:46.69	-30:54:13.2
060923A	1.9	0.26	2006-09-23	05:12:15	51.7	2.6	16:58:28.11	+12:21:37.8
060923C	2.1	0.2	2006-09-23	13:33:03	75.8	n/a	23:04:28.30	+03:55:28.3
060926	2.0	0.28	2006-09-26	16:48:42	8.0	3.2	17:35:43.69	+13:02:17.2
060927	1.9	0.165	2006-09-27	14:07:35	22.5	5.47	21:58:12.03	+05:21:49.0
060928	3.2	1.95	n/a	n/a	215.0	n/a	08:30:30.15	-42:44:57.5
060929	2.1	0.28	2006-09-29	19:55:01	554.0	n/a	17:32:28.97	+29:50:07.0
061002	2.3	0.635	2006-10-02	01:03:30	17.6	n/a	14:41:23.61	+48:44:28.6
061004	1.7	0.136	2006-10-04	19:50:31	6.2	n/a	06:31:10.83	-45:54:24.3
061006	1.9	0.215	2006-10-06	16:45:51	129.9	0.4377	07:24:07.67	-79:11:55.5
061007	2.0	0.09345	2006-10-07	10:08:09	75.3	1.261	03:05:19.59	-50:30:02.4
061019	2.1	0.25	2006-10-19	04:19:07	183.8	n/a	06:06:30.95	+29:34:12.4
061021	1.9	0.06035	2006-10-21	15:39:08	46.2	0.3463	09:40:36.15	-21:57:05.7
061025	1.8	0.5349999999999999	2006-10-25	18:35:50	20.0	n/a	20:03:37.05	-48:14:36.9
061028	2.5	0.525	2006-10-28	01:26:22	106.2	n/a	06:28:54.59	+46:17:56.0
061102	2.0	0.645	2006-11-02	01:00:31	45.6	n/a	09:53:37.81	-17:01:29.9
061110	2.1	0.36	n/a	n/a	n/a	n/a	21:35:40.50	+06:52:33.0
061110A	1.8	0.129	2006-11-10	11:47:21	40.7	0.7578	22:25:09.88	-02:15:31.2
061121	1.9	0.0607	2006-11-21	15:22:29	81.3	1.314	09:48:54.59	-13:11:42.6
061122	1.9	0.1407	2006-11-22	07:56:45	20.0	n/a	20:15:19.88	+15:31:01.4
061126	1.8	0.0722	2006-11-26	08:47:56	70.8	1.1588	05:46:24.57	+64:12:38.9
061201	1.6	0.175	2006-12-01	15:58:37	0.76	n/a	22:08:32.35	-74:34:48.2
061202	2.1	0.1	2006-12-02	08:11:45	91.2	2.2543	07:02:06.13	-74:41:54.5
061210	2.7	1.9	2006-12-10	12:20:39	85.3	0.4095	09:38:05.19	+15:37:17.8
061217	0.72	0.8400000000000001	2006-12-17	03:40:08	0.21	0.827	10:41:39.32	-21:07:22.1
061222	1.9	0.21	n/a	n/a	n/a	n/a	07:01:24.69	-25:51:35.0
061222A	1.9	0.0641	2006-12-22	03:28:52	71.4	2.088	23:53:03.46	+46:31:57.3
070103	2.3	0.25	2007-01-03	20:46:39	18.6	2.6208	23:30:13.81	+26:52:34.4
070107	2.1	0.0457	2007-01-07	12:05:18	347.3	n/a	10:37:36.46	-53:12:47.2
070110	2.0	0.06825	2007-01-10	07:22:42	88.4	2.352	00:03:39.39	-52:58:28.2
070125	2.0	0.195	n/a	n/a	60.0	1.547	07:51:17.80	+31:09:03.9
070129	2.1	0.105	2007-01-29	23:35:10	460.6	2.3384	02:28:00.96	+11:41:03.6
070208	2.1	0.185	2007-02-08	09:10:34	47.7	1.165	13:11:32.47	+61:57:54.5
070219	2.5	0.44	2007-02-19	01:10:16	16.6	n/a	17:20:45.97	+69:22:11.9
070220	1.5	0.12	2007-02-20	04:44:33	129.0	n/a	02:19:06.88	+68:48:17.3
070223	2.0	0.36	2007-02-23	01:15:01	88.5	1.6295	10:13:48.42	+43:08:00.7
070224	2.1	0.28	2007-02-24	20:27:58	34.5	1.9922	11:56:06.56	-13:19:48.8
070227	2.2	0.365	2007-02-27	22:21:59	7.0	n/a	08:02:19.37	-46:18:50.6
070306	1.9	0.0822499999999999	2007-03-06	16:41:28	209.5	1.4959	09:52:23.27	+10:28:55.5
070309	7.1	12.45	2007-03-09	10:01:03	40.0	n/a	17:34:39.01	-37:55:48.5
070311	1.9	0.215	2007-03-11	01:52:50	60.0	n/a	05:50:08.27	+03:22:29.6
070318	1.9	0.0969	2007-03-18	07:28:56	74.6	0.836	03:13:56.76	-42:56:47.2
070328	1.9	0.0696499999999999	2007-03-28	03:53:53	75.3	2.0627	04:20:27.74	-34:04:00.5
070330	1.9	0.22	2007-03-30	22:51:31	9.0	n/a	17:58:10.20	-63:47:34.6
070411	2.3	0.16	2007-04-11	20:12:33	121.5	2.954	07:09:19.97	+01:03:52.4
070412	2.0	0.25	2007-04-12	01:27:03	33.8	n/a	12:06:10.00	+40:08:35.7
070419	1.5	0.0597	n/a	n/a	n/a	n/a	21:02:49.79	-31:15:48.9
070419A	2.2	0.355	2007-04-19	09:59:26	115.6	0.97	12:10:58.75	+39:55:31.7
070420	2.0	0.05755	2007-04-20	06:18:14	76.5	n/a	08:04:55.17	-45:33:20.4
070429	2.6	1.2000000000000002	n/a	n/a	n/a	n/a	21:52:03.87	-38:49:42.3
070429A	1.6	0.27	2007-04-29	01:35:10	163.3	n/a	19:50:49.02	-32:24:18.0
070506	2.0	0.235	2007-05-06	05:35:58	4.3	2.31	23:08:52.30	+10:43:20.5
070508	1.8	0.11	2007-05-08	04:18:18	20.9	n/a	20:51:12.11	-78:23:04.3
070509	2.1	0.475	2007-05-09	02:48:27	7.7	n/a	15:51:50.37	-78:39:06.8
070517	2.0	0.18	2007-05-17	11:20:58	7.6	n/a	18:30:28.97	-62:17:51.0
070518	2.1	0.26	2007-05-18	14:26:21	5.5	n/a	16:56:47.65	+55:17:41.4
070520	2.2	0.48	n/a	n/a	n/a	n/a	08:07:31.18	+57:36:30.0
070520A	2.9	0.6100000000000001	2007-05-20	13:05:10	18.1	n/a	12:53:26.27	+74:59:24.8
070521	1.9	0.12	2007-05-21	06:51:11	37.9	2.0865	16:10:38.58	+30:15:22.0
070529	1.9	0.155	2007-05-29	12:48:28	109.2	2.4996	18:54:58.25	+20:39:33.8
070531	1.1	0.145	2007-05-31	02:10:18	44.5	n/a	00:26:58.28	+74:18:46.6
070611	1.7	0.225	2007-06-11	01:57:14	12.2	2.04	00:07:58.14	-29:45:20.6
070612	2.2	0.535	n/a	n/a	n/a	n/a	17:26:54.44	-08:45:04.9
070615	n/a	n/a	2007-06-15	02:20:45	30.0	n/a	02:57:15.32	-04:24:26.0
070616	2.3	0.0838	2007-06-16	16:29:34	402.4	n/a	02:08:36.44	+56:56:45.0
070621	2.5	0.19	2007-06-21	23:17:39	33.3	n/a	21:35:10.10	-24:49:02.8
070628	2.0	0.07615	2007-06-28	14:41:02	39.1	n/a	07:41:06.08	-20:16:45.8
070704	1.9	0.29	2007-07-04	20:05:57	380.0	n/a	23:38:47.56	+66:15:11.2
070707	2.9	1.34	2007-07-07	16:08:21	1.1	n/a	17:50:58.37	-68:55:27.3
070714	2.0	0.145	n/a	n/a	n/a	n/a	03:51:22.25	+28:17:51.3
070714A	2.2	0.365	2007-07-14	03:20:31	2.0	1.58	02:51:43.32	+30:14:34.8
070721	1.5	0.08395	n/a	n/a	n/a	n/a	02:12:32.98	-02:11:40.1
070721A	2.5	0.375	2007-07-21	10:01:08	3.4	n/a	00:12:39.13	-28:33:00.7
070724	2.0	0.4599999999999999	n/a	n/a	n/a	n/a	01:09:56.62	+57:40:35.7
070724A	1.5	0.3	2007-07-24	10:53:50	0.4	0.457	01:51:13.89	-18:35:40.6
070729	1.5	0.585	2007-07-29	00:25:53	0.9	n/a	03:45:15.99	-39:19:20.9
070802	1.9	0.225	2007-08-02	07:07:25	16.4	2.45	02:27:35.80	-55:31:39.1
070808	2.1	0.3	2007-08-08	18:28:00	32.0	n/a	00:27:03.36	+01:10:34.4
070809	1.4	0.1382	2007-08-09	19:22:17	1.3	n/a	13:35:04.75	-22:08:30.0
070810A	2.1	0.155	2007-08-10	02:11:52	11.0	2.17	12:39:51.21	+10:45:03.3
070911	2.0	0.25	2007-09-11	05:57:44	162.0	n/a	01:43:14.33	-33:29:02.6
070913	2.2	2.4	2007-09-13	00:36:43	3.2	n/a	15:15:01.69	-24:17:35.3
070917	2.0	2.05	2007-09-17	07:33:56	7.3	n/a	19:35:40.67	+02:24:38.9
070920	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
070925	2.0	0.75	2007-09-25	15:52:32	30.0	n/a	16:52:51.43	-22:01:44.2
071003	2.0	0.0943	2007-10-03	07:40:55	150.0	1.60435	20:07:24.12	+10:56:51.0
071008	5.2	27.45	2007-10-08	21:55:56	18.0	n/a	10:06:21.31	+44:19:17.4
071010	2.0	0.31	n/a	n/a	n/a	n/a	10:02:09.06	+45:43:52.2
071010A	2.2	0.345	2007-10-10	03:41:12	6.0	n/a	19:12:14.58	-32:24:07.1
071011	2.2	0.495	2007-10-11	12:40:13	61.0	n/a	00:33:33.09	+61:08:00.8
071020	1.5	0.115	2007-10-20	07:02:26	4.2	2.145	07:58:39.61	+32:51:39.3
071021	1.9	0.12	2007-10-21	09:41:33	225.0	2.452	22:42:34.34	+23:43:05.5
071025	2.1	0.09455	2007-10-25	04:08:54	109.0	5.2	23:40:17.08	+31:46:42.5
071028	1.8	0.965	n/a	n/a	n/a	n/a	23:36:39.09	-31:37:13.2
071028A	2.0	0.24	2007-10-28	17:41:01	27.0	n/a	07:59:16.61	+21:29:04.7
071031	1.7	0.155	2007-10-31	01:06:36	180.0	2.692	00:25:37.28	-58:03:33.2
071101	3.7	1.8	2007-11-01	17:53:46	9.0	n/a	03:12:42.35	+62:30:01.6
071104	1.8	0.165	2007-11-04	11:41:23	12.0	n/a	19:42:26.85	+14:36:37.2
071112C	1.6	0.1031	2007-11-12	18:32:57	15.0	0.823	02:36:50.92	+28:22:16.8
071117	2.0	0.18	2007-11-17	14:50:06	6.6	1.331	22:20:10.55	-63:26:36.1
071118	1.6	0.1	2007-11-18	08:57:17	71.0	n/a	19:58:51.80	+70:07:28.0
071122	1.6	0.155	2007-11-22	01:23:25	68.7	1.14	18:26:25.26	+47:04:30.2
071227	2.1	0.495	2007-12-27	20:13:47	1.8	0.394	03:52:31.20	-55:59:02.9
080120	2.2	0.24	2008-01-20	17:28:30	20.0	n/a	15:01:03.22	-10:52:30.5
080123	2.6	0.655	2008-01-23	04:21:57	115.0	n/a	22:35:46.33	-64:54:02.8
080129	2.0	0.2	2008-01-29	06:06:45	48.0	4.349	07:01:08.16	-07:50:46.5
080130	1.2	0.79	2008-01-30	11:13:59	65.0	n/a	17:26:27.05	-53:11:13.7
080205	1.7	0.15	2008-02-05	07:55:51	106.5	n/a	06:33:00.59	+62:47:31.1
080207	2.2	0.165	2008-02-07	21:30:21	340.0	2.0858	13:50:02.96	+07:30:07.7
080210	2.1	0.175	2008-02-10	07:50:05	45.0	2.641	16:45:03.95	+13:49:35.8
080212	2.0	0.125	2008-02-12	17:34:33	123.0	n/a	15:24:35.37	-22:44:30.2
080218	2.3	0.375	n/a	n/a	n/a	n/a	11:51:49.67	-53:05:48.6
080229	2.9	0.625	n/a	n/a	n/a	n/a	13:17:00.35	-64:51:45.2
080229A	1.8	0.0818	2008-02-29	17:04:59	64.0	n/a	15:12:52.23	-14:42:16.1
080303	2.1	0.11395	2008-03-03	09:10:35	67.0	n/a	07:28:14.21	-70:14:03.1
080307	1.8	0.215	2008-03-07	11:23:30	125.9	n/a	09:06:30.86	+35:08:20.9
080310	1.9	0.0725	2008-03-10	08:37:58	365.0	2.42	14:40:13.85	-00:10:31.4
080319B	1.7	0.0620499999999999	2008-03-19	06:12:00	50.0	0.937	14:31:40.98	+36:18:08.8
080319A	2.0	0.195	2008-03-19	05:45:42	64.0	n/a	13:45:19.95	+44:04:47.9
080319C	1.5	0.0973	2008-03-19	12:25:56	34.0	1.95	17:15:55.49	+55:23:31.0
080319D	1.9	0.13315	2008-03-19	17:05:09	24.0	n/a	06:37:53.46	+23:56:33.7
080320	1.9	0.105	2008-03-20	04:37:38	14.0	n/a	11:50:56.48	+57:09:25.0
080325	2.1	0.255	2008-03-25	04:09:17	128.4	1.78	18:31:34.35	+36:31:25.1
080328	1.9	0.0764	2008-03-28	08:03:04	90.6	n/a	05:21:55.85	+47:30:39.4
