# Taken from Schlafly & Finkbeiner (2011)
# http://adsabs.harvard.edu/abs/2011ApJ...737..103S
# Table 6
# F99 Reddening in Different Bandpasses

WFC3 F814W	7983.1	1.441	1.536	1.580	1.605
WFC3 F850LP	9149.7	1.168	1.208	1.226	1.237
ACS clear	6211.1	2.612	2.436	2.356	2.309
ACS F435W	4348.3	4.330	3.610	3.278	3.087
ACS F475W	4760.3	3.787	3.268	3.028	2.890
ACS F550M	5581.0	2.754	2.620	2.558	2.522
ACS F555W	5361.3	3.031	2.792	2.682	2.618
ACS F606W	5901.0	2.555	2.471	2.431	2.409
ACS F625W	6298.1	2.171	2.219	2.241	2.254
ACS F775W	7673.5	1.520	1.629	1.679	1.708
ACS F814W	8012.4	1.432	1.526	1.569	1.594
ACS F850LP	9007.5	1.196	1.243	1.265	1.277
DES g	4796.6	3.739	3.237	3.006	2.872
DES r	6382.6	2.113	2.176	2.205	2.221
DES i	7769.0	1.490	1.595	1.644	1.672
DES z	9108.2	1.175	1.217	1.236	1.247
DES Y	9850.4	1.051	1.058	1.061	1.063
Swift u	3465	-999	4.89172	-999	-999
Swift v	5468	-999	2.99692	-999	-999
Swift b	4392	-999	4.00555	-999	-999
Swift uvw1	2600	-999	6.55663	-999	-999
Swift uvw2	1928	-999	8.10997	-999	-999
Swift uvm2	2246	-999	9.15389	-999	-999


# Notes. Ab/E(B - V)SFD in different bandpasses b, evaluated according to an F99 reddening law with normalization
# N = 0.78 and RV = 2.1, 3.1, 4.1, and 5.1, using a 7000 K source spectrum. The column lambdaeff gives the
# throughput-weighted mean wavelength in the bandpass. When used with RV = 3.1, these give the coefficients to use with E(B - V)SFD
# to get reddenings consistent with the results of this work and Schlafly et al. (2010). The values for other RV are provided only for convenience.

# Swift values are added by S. Young (2021/08/14). Central wavelengths are taken from Poole et al. (2008) and Ab/E(B - V)SFD is gathered from
# the York Extinction Solver (McCall (2004)). Values are only given for RV = 3.1.
