# t(s)	flux(erg)	err		beta(from Wang 2015)	z
40176	1.84352E-13	3.39589E-15	0.51		3.211
49248	1.43763E-13	2.64821E-15	0.51		3.211
62813	1.34787E-13	3.7243E-15	0.51		3.211
126576	6.88093E-14	1.90127E-15	0.51		3.211
134784	6.0485E-14	1.11417E-15	0.51		3.211
149040	5.12445E-14	1.41594E-15	0.51		3.211
150336	5.03092E-14	9.2673E-16	0.51		3.211
156211	4.89381E-14	1.35221E-15	0.51		3.211
221443	2.56831E-14	1.4193E-15	0.51		3.211
222826	2.40795E-14	6.6534E-16	0.51		3.211
307411	1.31113E-14	3.62279E-16	0.51		3.211
312422	1.45093E-14	2.67272E-16	0.51		3.211
396144	5.88364E-15	2.16761E-16	0.51		3.211
397440	5.56733E-15	2.05108E-16	0.51		3.211
59.616	1.47791E-11	1.3612E-12	0.51		3.211
4770.144	1.29911E-12	5.98264E-14	0.51		3.211
7891.776	9.49832E-13	8.74828E-15	0.51		3.211
8333.28	8.82362E-13	8.12686E-15	0.51		3.211
8798.976	8.4265E-13	7.7611E-15	0.51		3.211
16346.02	6.27549E-13	2.31198E-14	0.51		3.211
16468.7	5.12445E-13	8.9676E-14	0.51		3.211
16855.78	4.84894E-13	1.42913E-13	0.51		3.211
18247.68	3.51275E-13	6.14718E-14	0.51		3.211
20196	4.30178E-13	7.92416E-15	0.51		3.211
21563.71	4.09682E-13	7.54662E-15	0.51		3.211
21960.29	3.9815E-13	1.10013E-14	0.51		3.211
22319.71	4.04062E-13	1.11646E-14	0.51		3.211
22552.13	3.11636E-13	6.88865E-14	0.51		3.211
23472.29	3.61449E-13	9.9872E-15	0.51		3.211
23868	3.54199E-13	9.78688E-15	0.51		3.211
24263.71	3.79182E-13	1.04772E-14	0.51		3.211
25343.71	3.28433E-13	1.20999E-14	0.51		3.211
25740.29	3.26022E-13	9.00833E-15	0.51		3.211
26136	3.2995E-13	9.11684E-15	0.51		3.211
27287.71	3.16554E-13	8.7467E-15	0.51		3.211
27684.29	2.83954E-13	7.84593E-15	0.51		3.211
28080	2.86054E-13	1.05386E-14	0.51		3.211
29231.71	2.96788E-13	1.09341E-14	0.51		3.211
29628.29	2.54711E-13	9.3839E-15	0.51		3.211
30024	2.70924E-13	9.9812E-15	0.51		3.211
94473.22	1.04147E-13	6.71462E-15	0.51		3.211
96469.05	1.17394E-13	4.32496E-15	0.51		3.211
97446.24	9.58622E-14	5.29754E-15	0.51		3.211
98222.98	9.94597E-14	3.66423E-15	0.51		3.211
182730.8	4.42229E-14	5.295E-15	0.51		3.211
269467.8	2.21639E-14	2.24551E-15	0.51		3.211
355833.2	1.08056E-14	2.38855E-15	0.51		3.211
374580.3	8.19686E-15	6.79463E-16	0.51		3.211
441274.2	5.77626E-15	1.70244E-15	0.51		3.211
530958.3	5.36596E-15	0	0.51		3.211
620208.6	4.46321E-15	0	0.51		3.211
889710.1	2.13623E-15	0	0.51		3.211
893549.7	2.13623E-15	0	0.51		3.211
