Time	Mag	MagErr	Band
1.89445824e6	20.88	0.15	UVM2
1.90455408e6	20.66	0.14	UVW1
3.161981664e6	20.58	0.18	UVW1
3.251867904e6	21.07	0.17	UVW2
3.25708992e6	20.99	0.19	UVM2
3.329310816e6	21.4	0.33	UVU
345.6	11.751	0.056	r
431.13599999999997	11.808	0.043	i
516.672	11.928	0.042	z
693.792	12.42	0.036	i
779.328	12.407	0.052	z
1016.064	12.735	0.036	z
1101.6	13.136	0.029	r
1188.	13.111	0.031	i
1273.536	13.036	0.036	z
1538.7839999999999	13.424	0.033	i
1624.3200000000002	13.395	0.044	z
1709.8559999999998	13.722	0.03	r
1796.2559999999999	13.664	0.032	i
1881.7920000000001	13.555	0.043	z
1967.328	13.878	0.03	r
2052.864	13.924	0.03	r
2138.4	13.857	0.03	i
2223.9359999999997	13.778	0.039	z
2310.336	14.061	0.028	r
2395.8720000000003	14.001	0.031	i
2481.408	13.882	0.04	z
2566.944	14.197	0.03	r
2738.016	14.022	0.035	z
2823.552	14.297	0.03	r
2995.488	14.123	0.037	z
3081.024	14.376	0.03	r
3166.5600000000004	14.268	0.035	i
3252.096	14.163	0.04	z
3337.6319999999996	14.412	0.029	r
3424.0319999999997	14.33	0.06	i
3509.568	14.27	0.036	z
3595.1040000000003	14.496	0.029	r
3680.64	14.42	0.052	i
3767.04	14.28	0.036	z
3852.576	14.633	0.042	r
3938.112	14.48	0.042	i
4023.648	14.41	0.052	z
4109.184	14.62	0.036	r
4194.72	14.53	0.046	i
4280.256	14.43	0.042	z
4365.7919999999995	14.673	0.031	r
4451.328	14.59	0.044	i
4537.728	14.489	0.034	z
4623.264	14.741	0.027	r
4797.792	14.554	0.034	z
4883.328	14.807	0.024	r
4969.728	14.71	0.04	i
5055.264	14.607	0.034	z
5141.664	14.83	0.029	r
5227.2	14.75	0.042	i
5312.736	14.655	0.034	z
5398.272	14.867	0.029	r
5483.808	14.79	0.052	i
5569.344	14.679	0.034	z
7664.544	15.255	0.029	r
7750.08	15.11	0.066	i
7835.616000000001	15.534	0.035	g
8063.7119999999995	15.471	0.035	g
8150.112	15.268	0.033	r
8235.648000000001	15.146	0.038	i
8321.184000000001	15.571	0.035	g
8406.72	15.302	0.034	r
8492.256	15.187	0.039	i
8577.792	15.553	0.036	g
8664.192	15.348	0.02	r
8749.728	15.214	0.019	i
8835.264000000001	15.591	0.018	g
8920.8	15.364	0.024	r
9006.336	15.247	0.022	i
9092.736	15.635	0.036	g
9178.272	15.398	0.032	r
9263.807999999999	15.266	0.03	i
9349.344000000001	15.681	0.037	g
9434.880000000001	15.428	0.034	r
9520.416	15.443	0.035	r
9606.815999999999	15.33	0.038	i
9692.352	15.704	0.037	g
9834.912	15.329	0.036	i
9920.448	15.693	0.038	g
10005.984	15.445	0.032	r
10091.52	15.345	0.028	i
10177.056	15.73	0.038	g
10262.592	15.504	0.036	r
10348.128	15.37	0.03	i
10490.688	15.511	0.037	r
10576.224	15.418	0.034	i
10661.76	15.821	0.04	g
10747.296	15.526	0.019	r
10832.831999999999	15.425	0.041	i
10918.368	15.834	0.041	g
11004.768000000002	15.544	0.037	r
11090.304	15.444	0.043	i
11175.84	15.913	0.042	g
11261.376	15.594	0.04	r
11346.912	15.458	0.047	i
11433.312	15.943	0.046	g
11518.848	15.6	0.028	r
11604.384000000002	15.451	0.048	i
11690.784000000001	15.849	0.046	g
11776.32	15.591	0.042	r
11861.856	15.482	0.044	i
157799.232	18.652	0.037	r
158235.552	18.501	0.042	i
158697.79200000002	18.999	0.026	g
159159.168	18.675	0.02	r
159919.48799999998	18.481	0.037	i
160356.672	19.026	0.04	g
160792.992	18.68	0.021	r
161232.768	18.533	0.043	i
161690.688	19.037	0.021	g
162146.016	18.692	0.025	r
162597.888	18.516	0.04	i
163035.07200000001	19.033	0.026	g
163481.76	18.712	0.023	r
163928.448	18.541	0.043	i
164365.63199999998	19.055	0.022	g
164802.816	18.734	0.021	r
165240.	18.494	0.042	i
165677.184	19.07	0.022	g
166114.368	18.736	0.023	r
166550.688	18.529	0.045	i
166987.872	19.08	0.039	g
167425.05599999998	18.756	0.024	r
167862.24	18.526	0.051	i
168299.424	19.123	0.044	g
168664.032	18.746	0.025	r
168979.392	18.781	0.036	r
169325.856	18.594	0.042	i
169763.04	19.104	0.033	g
170199.36	18.806	0.025	r
170636.544	18.635	0.044	i
171096.192	19.139	0.046	g
171533.37600000002	18.787	0.027	r
171970.56	18.602	0.042	i
172407.744	19.132	0.031	g
172844.92799999999	18.817	0.028	r
173208.672	18.608	0.048	i
173573.28	18.785	0.027	r
174010.46399999998	18.604	0.042	i
174446.784	19.193	0.032	g
174883.968	18.442	0.047	z
175321.15200000003	18.809	0.033	r
175758.336	18.645	0.045	i
176194.656	19.206	0.046	g
176641.34399999998	18.435	0.056	z
177088.032	18.834	0.032	r
177524.35199999998	18.664	0.047	i
177888.96	19.165	0.054	g
178202.592	19.194	0.062	g
178493.76	18.438	0.048	z
178930.944	18.838	0.031	r
179368.12800000003	18.651	0.059	i
179805.312	19.19	0.053	g
180242.49599999998	18.557	0.06	z
180678.81600000002	18.856	0.039	r
181116.	18.607	0.057	i
181553.18399999998	19.175	0.061	g
181990.36800000002	18.477	0.06	z
182427.552	18.817	0.042	r
244029.02399999998	19.237	0.027	r
244466.208	19.067	0.051	i
244903.392	19.628	0.042	g
245340.57599999997	19.019	0.066	z
245631.744	19.237	0.03	r
247632.768	18.856	0.046	z
247997.37600000002	19.255	0.025	r
250670.59199999998	19.026	0.075	i
251106.912	19.655	0.028	g
251827.488	19.67	0.027	g
252191.23200000002	19.	0.061	z
252628.416	19.297	0.024	r
253065.59999999998	19.144	0.054	i
253356.768	19.671	0.031	g
253883.80800000002	19.661	0.027	g
254247.55200000003	18.995	0.055	z
254758.17599999998	19.294	0.022	r
255280.03199999998	19.153	0.054	i
255644.63999999998	19.686	0.031	g
256081.824	18.968	0.07	z
256519.008	19.325	0.027	r
256955.32799999998	19.122	0.056	i
257392.51200000002	19.702	0.036	g
257829.696	18.884	0.063	z
258266.87999999998	19.291	0.03	r
258704.064	19.198	0.067	i
259141.248	19.717	0.049	g
259578.43199999997	19.024	0.062	z
260015.616	19.337	0.027	r
260452.8	19.045	0.054	i
260889.984	19.756	0.043	g
261327.168	18.936	0.061	z
261764.35199999998	19.326	0.044	r
262201.536	19.157	0.056	i
262566.144	19.683	0.04	g
262880.64	19.767	0.065	g
263099.232	19.002	0.058	z
263529.504	19.358	0.03	r
263966.688	19.192	0.06	i
264403.872	19.818	0.059	g
264841.056	19.047	0.068	z
265278.24	19.286	0.039	r
330839.424	19.571	0.041	r
331276.608	19.388	0.064	i
331713.792	20.055	0.038	g
332150.97599999997	19.405	0.082	z
332588.16000000003	19.632	0.03	r
333025.344	19.399	0.067	i
333462.528	20.087	0.032	g
333899.712	19.345	0.077	z
334336.896	19.608	0.039	r
334774.07999999996	19.493	0.074	i
335211.264	20.039	0.035	g
335648.448	19.318	0.092	z
336085.632	19.627	0.04	r
336522.816	19.423	0.071	i
336960.	20.095	0.046	g
337397.184	19.331	0.085	z
337834.368	19.651	0.036	r
338281.05600000004	19.544	0.071	i
338726.88	20.033	0.045	g
339164.064	19.123	0.074	z
339528.672	19.644	0.049	r
339844.032	19.656	0.045	r
340135.2	19.456	0.078	i
340581.88800000004	20.109	0.049	g
341038.944	19.337	0.086	z
341485.632	19.678	0.035	r
341922.816	19.411	0.072	i
342360.864	20.032	0.035	g
342798.048	19.435	0.087	z
343235.232	19.678	0.035	r
343672.41599999997	19.435	0.071	i
344108.73600000003	20.129	0.047	g
344555.424	19.41	0.083	z
345002.112	19.648	0.039	r
345439.296	19.455	0.058	i
345875.616	20.096	0.035	g
346312.80000000005	19.308	0.071	z
346749.984	19.605	0.04	r
347196.672	19.432	0.066	i
347643.36	20.054	0.06	g
348080.544	19.307	0.071	z
348517.72799999994	19.683	0.033	r
349124.25600000005	19.468	0.073	i
349488.86400000006	20.131	0.045	g
349925.184	19.419	0.07	z
350362.36799999996	19.633	0.041	r
350799.55199999997	19.437	0.079	i
351236.73600000003	20.118	0.058	g
351527.904	19.485	0.16	z
422551.29600000003	19.917	0.043	r
423013.536	19.644	0.073	i
423474.91199999995	20.313	0.038	g
424662.048	19.883	0.027	r
425691.07200000004	19.682	0.051	i
426719.232	20.318	0.03	g
427748.25599999994	19.499	0.057	z
432560.73600000003	19.918	0.038	r
433592.352	19.673	0.07	i
434623.104	20.353	0.041	g
512730.432	20.586	0.046	g
513759.456	19.555	0.064	z
514616.54399999994	20.093	0.034	r
515567.808	19.82	0.062	i
601128.8640000001	20.17	0.033	r
603005.4720000001	20.669	0.04	g
604034.4959999999	20.044	0.063	i
687574.656	20.842	0.048	g
688087.872	20.262	0.039	r
688601.088	20.05	0.074	i
1.124320608e6	20.567	0.045	r
1.125697824e6	21.18	0.059	g
1.2040833599999999e6	21.219	0.038	g
1.204802208e6	20.541	0.025	r
1.205723232e6	20.376	0.073	i
1.282585536e6	20.564	0.032	r
1.285050528e6	21.32	0.035	g
1.28752416e6	20.398	0.074	i
1.371098016e6	20.61	0.036	r
1.373761728e6	21.214	0.037	g
1.376448768e6	20.484	0.082	i
1.464956064e6	20.426	0.074	i
1.4690177280000001e6	20.72	0.04	r
1.550126592e6	20.442	0.079	i
1.5525924479999999e6	20.645	0.039	r
1.5550583040000002e6	21.337	0.043	g
1.63666224e6	20.461	0.074	i
1.639128096e6	20.745	0.036	r
1.641696768e6	21.351	0.048	g
1.7250511679999998e6	20.307	0.127	i
1.727517888e6	20.744	0.04	r
1.9758453120000002e6	20.558	0.086	i
1.9795570559999999e6	20.754	0.044	r
2.062546848e6	20.507	0.092	i
2.067255648e6	20.734	0.052	r
2.1487308479999998e6	20.506	0.091	i
2.321430624e6	20.65	0.098	i
2.844529056e6	20.977	0.037	r
3.01202928e6	20.76	0.086	i
3.188719872e6	21.005	0.035	r
3.4452915840000003e6	20.741	0.07	i
20382.624	16.135	0.057	r
20779.2	16.61	0.04	B
21009.888	15.941	0.06	z
21217.248	16.086	0.049	i
21472.128	16.172	0.044	r
21673.440000000002	16.62	0.04	B
21883.392	15.923	0.045	z
22085.568000000003	16.094	0.074	i
22292.064000000002	16.19	0.024	r
22494.24	16.65	0.06	B
22717.152	15.912	0.082	z
22921.92	16.292	0.1	i
112205.952	18.227	0.015	r
112821.12000000001	18.207	0.021	r
192490.56	18.936	0.028	r
193104.864	18.961	0.027	r
193719.168	18.97	0.031	r
288420.48	19.454	0.034	r
289335.456	19.473	0.034	r
73183.39199999999	17.81	0.04	V
73333.728	17.49	0.04	R
73727.712	18.27	0.12	B
74371.39199999999	17.77	0.04	V
74386.08	17.48	0.03	R
75724.416	17.4	0.03	R
75851.424	17.86	0.03	V
76020.768	17.06	0.1	I
76403.52	18.07	0.12	B
77354.784	17.39	0.05	R
77356.512	17.77	0.04	V
162100.22400000002	18.89	0.06	V
162145.152	18.57	0.05	R
162222.048	18.17	0.07	I
162294.62399999998	19.19	0.13	B
246920.83200000002	19.55	0.2	V
246967.488	19.24	0.1	R
247045.248	18.25	0.14	I
425675.52	20.05	0.02	V
426357.21599999996	20.52	0.03	B
426578.39999999997	19.81	0.1	R
427237.63200000004	19.75	0.02	R
1.286108064e6	20.84	0.11	V
1.28675952e6	20.83	0.21	R
3.53323728e6	20.95	0.13	R
3.533760864e6	21.36	0.18	V
82310.688	18.241	0.057	B
82777.24799999999	17.91	0.024	V
83061.504	17.632	0.027	R
83264.544	17.257	0.045	I
85430.592	18.166	0.046	B
85597.344	17.954	0.035	V
85775.32800000001	17.645	0.03	R
85944.672	17.173	0.033	I
89232.192	18.407	0.135	B
89411.04000000001	18.067	0.045	V
89582.112	17.704	0.03	R
89749.728	17.359	0.066	I
93469.248	18.273	0.083	B
93718.08	17.812	0.046	R
93880.512	17.384	0.033	I
94104.288	17.75	0.041	R
333464.256	19.26	0.1	R
334132.128	19.1	0.1	I
56722.464	17.283	0.049	r
56722.464	17.052	0.04	i
56722.464	16.989	0.034	z
56935.872	15.887	0.03	J
56935.872	15.273	0.031	H
57760.128	17.544	0.042	g
58586.112	17.285	0.031	r
58586.112	17.13	0.032	i
58586.112	17.034	0.012	z
58799.52	15.96	0.032	J
58799.52	15.344	0.029	H
58799.52	14.736	0.053	K
61312.896	17.34	0.048	r
61312.896	17.218	0.02	i
61312.896	17.097	0.009	z
61319.808000000005	15.99	0.031	J
61319.808000000005	15.348	0.067	H
61319.808000000005	14.803	0.03	K
63248.256	17.393	0.04	r
63248.256	17.257	0.012	i
63248.256	17.14	0.021	z
63674.208	16.031	0.037	J
63674.208	15.398	0.035	H
63674.208	14.834	0.056	K
64026.72	17.686	0.018	g
64811.231999999996	17.471	0.046	r
64811.231999999996	17.289	0.006	i
64811.231999999996	17.163	0.018	z
66017.376	16.08	0.03	J
66017.376	15.44	0.032	H
66017.376	14.956	0.064	K
66383.712	17.448	0.034	r
66383.712	17.312	0.014	i
66383.712	17.241	0.012	z
67155.264	17.738	0.024	g
67947.552	17.447	0.037	r
67947.552	17.292	0.057	i
67947.552	17.229	0.018	z
68357.088	16.146	0.03	J
68357.088	15.496	0.031	H
68357.088	14.928	0.035	K
69486.336	17.522	0.051	r
69486.336	17.397	0.053	i
69486.336	17.253	0.025	z
70668.288	16.195	0.031	J
70668.288	15.519	0.039	H
70668.288	14.996	0.042	K
71027.712	17.518	0.108	r
71027.712	17.436	0.056	i
71027.712	17.321	0.009	z
72785.08799999999	16.244	0.043	J
72785.08799999999	15.573	0.058	H
149419.296	18.876	0.025	g
149419.296	18.568	0.038	r
149419.296	18.419	0.043	i
149419.296	18.297	0.009	z
149445.216	17.128	0.042	J
149445.216	16.62	0.061	H
149445.216	15.824	0.067	K
1.4452041600000001e6	19.484	0.217	J
1.4452041600000001e6	19.115	0.347	H
1.4452041600000001e6	18.17	0.414	K
1.44520848e6	21.219	0.057	g
1.44520848e6	20.765	0.033	r
1.44520848e6	20.587	0.075	i
1.44520848e6	20.256	0.057	z
1.61715744e6	19.6	0.359	J
1.61715744e6	18.98	0.383	H
1.617192e6	21.38	0.043	g
1.617192e6	20.758	0.04	r
1.617192e6	20.671	0.084	i
1.617192e6	20.325	0.079	z
2.22042816e6	19.545	0.313	J
2.22042816e6	19.202	0.364	H
2.22078672e6	20.959	0.077	r
2.22078672e6	20.782	0.101	i
2.22078672e6	20.308	0.066	z
2.2223808000000003e6	21.654	0.167	g
37097.568	16.555	0.05	R
37418.975999999995	16.574	0.028	R
37575.36	16.585	0.027	R
37746.432	16.583	0.027	R
37952.928	16.593	0.032	R
38128.32	16.623	0.027	R
38272.608	16.618	0.027	R
39019.968	16.629	0.023	R
39417.408	16.612	0.021	R
39771.648	16.611	0.024	R
40068.864	16.647	0.024	R
40239.936	16.661	0.028	R
40411.871999999996	16.631	0.03	R
40582.944	16.633	0.027	R
40751.424	16.636	0.029	R
41054.688	16.678	0.027	R
41255.136	16.658	0.027	R
42679.871999999996	16.725	0.024	R
42880.32	16.728	0.033	R
42880.32	16.728	0.033	R
43290.72	16.731	0.028	R
43492.03200000001	16.744	0.025	R
43693.344	16.722	0.028	R
43892.928	16.738	0.025	R
44102.016	16.776	0.029	R
44301.600000000006	16.78	0.03	R
44501.183999999994	16.778	0.029	R
44703.36	16.774	0.029	R
44902.944	16.782	0.026	R
45113.76	16.763	0.027	R
45315.936	16.807	0.029	R
45514.655999999995	16.802	0.028	R
45715.968	16.82	0.027	R
45913.82400000001	16.801	0.026	R
46161.792	16.795	0.029	R
46363.968	16.795	0.029	R
46565.280000000006	16.841	0.027	R
46765.728	16.83	0.028	R
46966.176	16.823	0.029	R
47183.904	16.813	0.029	R
47386.943999999996	16.818	0.031	R
47588.256	16.888	0.032	R
47787.840000000004	16.853	0.03	R
47988.288	16.854	0.029	R
48189.6	16.88	0.03	R
48388.32000000001	16.818	0.036	R
48587.04	16.867	0.028	R
48785.76	16.871	0.031	R
48987.936	16.892	0.03	R
49400.064000000006	16.872	0.036	R
49601.376	16.882	0.03	R
49802.688	16.951	0.032	R
49999.68	16.92	0.033	R
50200.128	16.894	0.034	R
50398.848	16.912	0.033	R
50597.568	16.912	0.033	R
50796.288	16.91	0.034	R
51194.592	16.916	0.033	R
51439.104	16.993	0.034	R
51640.416000000005	16.98	0.038	R
51841.728	17.006	0.037	R
52039.584	17.021	0.042	R
52246.943999999996	17.062	0.039	R
52449.119999999995	16.987	0.042	R
52651.296	16.984	0.039	R
52851.744	17.049	0.04	R
53053.056000000004	16.985	0.042	R
53252.64	17.016	0.043	R
54853.632	16.965	0.039	R
55176.768	17.051	0.036	R
55378.08	17.031	0.037	R
55580.256	17.056	0.034	R
55778.976	17.011	0.04	R
55977.695999999996	16.973	0.036	R
56180.736000000004	17.013	0.039	R
56381.184	17.035	0.038	R
56584.224	17.081	0.035	R
56993.759999999995	17.125	0.036	R
225012.384	18.798	0.044	R
297719.712	19.419	0.054	R
396184.608	19.668	0.05	R
476538.336	19.869	0.057	R
5874.335999999999	12.53	0.02	K
6495.552	12.574	0.02	K
6804.	13.839	0.02	J
7084.8	13.876	0.02	J
7408.8	13.294	0.02	H
7688.736	13.331	0.02	H
79682.4	15.069	0.021	K
80669.95199999999	15.701	0.021	H
81868.32	16.403	0.022	J
262113.40800000002	16.562	0.026	K
263107.00800000003	17.207	0.026	H
264260.448	17.903	0.029	J
429372.576	17.166	0.032	K
430314.33599999995	18.387	0.036	J
683361.792	17.652	0.042	K
684309.6	18.334	0.042	H
685631.52	18.928	0.049	J
1.028014848e6	18.064	0.047	K
1.0300279680000001e6	18.659	0.059	H
1.0309930560000001e6	19.24	0.061	J
1.376620704e6	18.205	0.05	K
1.37868048e6	18.749	0.069	H
1.3797155520000001e6	19.315	0.062	J
1.807098336e6	18.431	0.06	K
1.80918144e6	18.784	0.065	H
1.810124928e6	19.5	0.08	J
1.9896416639999999e6	18.485	0.061	K
1.991682432e6	19.444	0.069	J
2.585439648e6	18.638	0.07	K
2.587525344e6	19.08	0.081	H
2.588503392e6	19.551	0.081	J
3.5349704639999997e6	18.677	0.069	K
3.536859168e6	18.905	0.062	H
3.53783808e6	19.632	0.084	J
738888.48	20.231	0.083	R
1.343304e6	20.487	0.078	R
1.0366237440000001e6	21.04	0.04	g
1.0369676159999999e6	20.72	0.04	V
1.1353521600000001e6	20.44	0.03	R
1.135819584e6	21.08	0.05	g
3.453123744e6	20.9	0.03	R
1.552235616e6	21.28	0.09	g
1.554553728e6	20.72	0.1	r
1.6354267200000002e6	20.43	0.06	z
1.6355934719999998e6	20.7	0.08	i
1.635753312e6	20.83	0.04	r
1.635915744e6	21.24	0.08	g
1.727288064e6	20.76	0.08	r
5.184	10.	0.5	r
19.872	7.4	0.5	r
51.839999999999996	10.5	0.5	r
46656.	17.7	0.05	u
46656.	17.34	0.05	g
46656.	17.07	0.05	r
46656.	16.94	0.05	i
46656.	16.88	0.05	z
73097.856	16.315	0.05	J
73097.856	15.635	0.05	H
162432.	17.295	0.05	J
162432.	16.635	0.05	H
253314.432	17.975	0.05	J
253314.432	17.185	0.05	H
53331.264	16.99	0.03	R
54705.888	17.38	0.03	V
56359.583999999995	17.74	0.06	B
57733.344	16.78	0.05	I
86400.*"Magnitudes"	for	Galactic	are
86400.*"Fluxes"	for	Galactic	are
86400.*"Except"	P60	observations,	for
86400.*"from"	the	host	subtraction
86400.*"but"	large,	systematic	contributes
