GRB	GCN	Telescope
030329	2048	Tautenburg-Schmidt
030329	2046	1.5m-Russian-Turkish
030329	14456	Palomar-60inch
030429	2214	USNOFS-1.0m
030429	2208	TUG/1.5m-Russian-Turkish
030429	2190	CrAO/AT-64
030429	2184	Mt.-John-0.6m,USNOFS-1.55m
030429	2178	SSO/ROTSE-IIIa
030429	2195	Nagoya-SAAO-1.4m-(IRSF)
030528	2252	25cm-Kyoto-university
030528	2253	Kyoto/0.20m-(f/4.0),0.25m-(f/6.8)
030528	2257	Bisei-Astronomical/1.01m
030528	2258	Teramo/0.72m-TNT
030528	2267	USNOFS-1.0m
030528	2275	Palomar-200inch-Hale
031203	2493	La-silla/Danish-1.5m
031203	2544	CTIO-4m-MOSAIC2
031203	2545	ESO-Paranal,La-silla
031203	2476	VLT-UT1
031203	2475	KeckII+NIRSPEC
031203	2470	1.0m-Lulin
031203	2465	Belgian-MERCATOR-1.2m
031203	2486	SMARTS-1.3m-ANDICAM
031203	2463	1.3m-CITO
040924	2833	**WARNING**
040924	2811	USNOFS-1.0m
040924	2753	CrAO/38cm-Cassegrain
040924	2752	TUG/Russian-Turkish-1.5m
040924	2750	Subaru-8.2m
040924	2749	TUG/Russian-Turkish-1.5m
040924	2748	Lick/-KAIT
040924	2751	University_of_Miyazaki/30cm
040924	2745	Subaru-IRCS
040924	2744	Lulin/1m
040924	2743	Lulin/1m
040924	2742	Subaru-8.2m
040924	2740	TUG/Russian-Turkish-1.5m
040924	2739	Mt.-John/0.6m
040924	2738	MASTER-Vostrykovo
040924	2737	MASTER-Vostrykovo
040924	2747	NOT-2.56m
040924	2734	robotic-Palomar-60inch
041006	2802	NOT-2.56m
041006	2804	1.52m-Loiano
041006	2821	1.5m-Russian-Turkish
041006	2826	Russian-Turkish-1.5m
041006	4085	Tautenburg-Schmidt
041006	2830	**WARNING**
041006	2832	GETS-Gunma
041006	3139	1.5m-Russian-Turkish
041006	4111	Lulin-1m
041006	2801	USNOFS-1.0m
041006	2829	Magellan/6.5m-Clay
041006	2799	SARA-0.9m
041006	2814	1.5m-GAO-Gunma
041006	2794	ARIES-Nainital-India/1.04m
041006	2765	SSO-40-inch
041006	2772	University_of_Miyazaki-30cm
041006	2773	MASTER-Vostrykovo
041006	2798	CrAO/AT-64
041006	2778	Morris-Offit-20in
041006	2779	BAO-1.01m
041006	2775	Mt.Maidanak-High-altitude/1.5m
041006	2784	TAROT
041006	2785	Lulin-1m
041006	2790	La-Palma/-2.0m-Liverpool
041006	2791	Gemini-North-GMOS
041006	2792	1.8m-VATT
041006	2782	Italian-3.6m-TNG
041219	2924	USNOFS-1.0m
041219	2916	Apache-Point/ARC-3.5m
041219	2905	robotic-25cm-TAROT
041219	2900	PROMPT
041219	2891	Lulin-1m,XingLong-0.8m
041219	2893	KECK-I-10m
041219	2887	1.04m-ARIES-NainiTal
041219	2885	robotic-Palomar-60inch
041219	2884	Palomar-200inch-Hale
041219	2882	University_of_Miyazaki/30cm
041219	2876	Palomar-200inch-Hale
041219	2871	USNOFS-1.0m
041219	2867	robotic-Palomar-60inch
041219	2889	RAPTOR-S
050126	2986	MASTER-Vostrykovo
050126	2988	MASTER-Vostrykovo
050126	3068	Palomar-200inch
050126	3088	Keck-II-ESI
050215	3069	Swift/UVOT
