time_sec	flux	flux_err	band_init	band_norm	source
779	2.0246331910317226e-12	1.0799801016714411e-13	i	R	guidorzi09
1080	1.9157831634888205e-12	8.74129899033918e-14	i	R	guidorzi09
1439	1.71532474302103e-12	6.616984853451833e-14	i	R	guidorzi09
1799	1.5358413363764418e-12	7.0077076460678e-14	i	R	guidorzi09
2155	1.3500391169545284e-12	7.201380424105325e-14	i	R	guidorzi09
2503	1.2199621375404787e-12	4.7060890474143296e-14	i	R	guidorzi09
2850	1.0822967447777185e-12	4.9382830075320574e-14	i	R	guidorzi09
3195	9.870663626368958e-13	5.2652106830957894e-14	i	R	guidorzi09
3540	8.676535583641905e-13	4.6282387462997206e-14	i	R	guidorzi09
4908	5.785572660495297e-13	3.086140925569426e-14	i	R	guidorzi09
64063	4.768110946691349e-14	4.155613461241873e-15	i	R	guidorzi09
2890	9.21279068064665e-13	4.2633297853088594e-14	g	R	guidorzi09
4699	5.109650599585641e-13	2.364552321751621e-14	g	R	guidorzi09
6006	3.8053201769993344e-13	1.760957717982074e-14	g	R	guidorzi09
6786	3.1651274606740556e-13	1.464700832261126e-14	g	R	guidorzi09
85843	1.6610825040031552e-14	7.686859238046862e-16	g	R	guidorzi09
2890	9.99143742948762e-13	1.8743926203927777e-14	r	R	guidorzi09
4699	5.7494721283325e-13	1.078600372024053e-14	r	R	guidorzi09
6006	4.203663782422477e-13	7.88606887446539e-15	r	R	guidorzi09
6786	3.528807542124447e-13	6.6200392710497486e-15	r	R	guidorzi09
85843	2.0119999842741958e-14	3.7745098734480446e-16	r	R	guidorzi09
2890	1.1024181435495886e-12	3.5958652543849236e-14	i	R	guidorzi09
4699	6.521482785428874e-13	2.127175926158753e-14	i	R	guidorzi09
6006	4.768110946691349e-13	1.5552614570596996e-14	i	R	guidorzi09
6786	4.0396743077007826e-13	1.3176601425772256e-14	i	R	guidorzi09
85843	2.4341444787234027e-14	9.389882127193621e-16	i	R	guidorzi09
2890	1.2076962019821921e-12	6.726460048303566e-14	z	R	guidorzi09
4699	7.07876835120407e-13	3.942634946389604e-14	z	R	guidorzi09
6006	5.320564354216487e-13	2.9633746884626685e-14	z	R	guidorzi09
6786	4.4664008810661536e-13	2.652254634680989e-14	z	R	guidorzi09
85843	2.6912726661373698e-14	1.7274696851359895e-15	z	R	guidorzi09
228	9.753057993505602e-13	1.3013055124523288e-13	J	R	guidorzi09
336	9.575044623278724e-13	1.2775540100906381e-13	J	R	guidorzi09
559	1.0119074809383074e-12	1.3501414468299119e-13	J	R	guidorzi09
768	9.934380879377172e-13	1.3254985882112914e-13	J	R	guidorzi09
871	1.0212705455795711e-12	1.3626341518248348e-13	J	R	guidorzi09
972	9.575044623278724e-13	1.2775540100906381e-13	J	R	guidorzi09
1130	9.487260086518304e-13	1.2658413245236626e-13	J	R	guidorzi09
1317	8.573157584248868e-13	1.1438768467217497e-13	J	R	guidorzi09
1504	8.894894606943891e-13	1.186804732670118e-13	J	R	guidorzi09
2920	5.716639510712236e-13	7.627448245407937e-14	J	R	guidorzi09
4736	3.476488576156961e-13	4.638518248474518e-14	J	R	guidorzi09
6034	2.5890521995829936e-13	3.454452851185377e-14	J	R	guidorzi09
85868	1.2739160421378559e-14	1.7827439345031146e-15	J	R	guidorzi09
228	6.221074039772599e-13	1.0425057913752034e-13	H	R	guidorzi09
336	6.696769795230832e-13	1.1222212194230487e-13	H	R	guidorzi09
448	7.012378832311187e-13	1.175109876086368e-13	H	R	guidorzi09
559	6.696769795230832e-13	1.1222212194230487e-13	H	R	guidorzi09
667	7.208839728252983e-13	1.2080321047061658e-13	H	R	guidorzi09
768	6.821272041203056e-13	1.1430848695959068e-13	H	R	guidorzi09
871	7.012378832311187e-13	1.175109876086368e-13	H	R	guidorzi09
972	6.696769795230832e-13	1.1222212194230487e-13	H	R	guidorzi09
1130	6.696769795230832e-13	1.1222212194230487e-13	H	R	guidorzi09
1317	6.696769795230832e-13	1.1222212194230487e-13	H	R	guidorzi09
1504	6.454541093171843e-13	1.0816293822066208e-13	H	R	guidorzi09
1690	5.832642661963686e-13	9.77413821993588e-14	H	R	guidorzi09
2920	4.0725401079859873e-13	6.824620027088411e-14	H	R	guidorzi09
4736	2.476654183777682e-13	4.150290308900164e-14	H	R	guidorzi09
6034	1.913662603801062e-13	3.2068487441980076e-14	H	R	guidorzi09
85868	1.1011978888157409e-14	1.902980830217064e-15	H	R	guidorzi09
228	3.6148999085002504e-13	7.447689954404856e-14	K	R	guidorzi09
336	4.592998216661155e-13	9.462841999688615e-14	K	R	guidorzi09
448	4.227623241588844e-13	8.710068866181318e-14	K	R	guidorzi09
559	4.809459553812752e-13	9.908812003568983e-14	K	R	guidorzi09
667	4.1888641587373276e-13	8.630214474828352e-14	K	R	guidorzi09
768	4.635496705910331e-13	9.55040059867339e-14	K	R	guidorzi09
871	4.67838842883897e-13	9.638769367399623e-14	K	R	guidorzi09
972	4.266740957818395e-13	8.790662141120142e-14	K	R	guidorzi09
1317	4.67838842883897e-13	9.638769367399623e-14	K	R	guidorzi09
1504	4.3460655946915923e-13	8.954092752238342e-14	K	R	guidorzi09
1690	3.4841454493081837e-13	7.1782997370081e-14	K	R	guidorzi09
2920	2.61876348578938e-13	5.395374422460156e-14	K	R	guidorzi09
4736	1.5925617357791803e-13	3.2811160313019604e-14	K	R	guidorzi09
85868	7.5525963922542e-15	1.6598649812067758e-15	K	R	guidorzi09
1238	1.6229927531032372e-12	2.989663135466303e-14	R	R	guidorzi09
1609	1.4398477784095742e-12	1.3261488122985916e-14	R	R	guidorzi09
1927	1.2540549900738912e-12	1.155027330375575e-14	R	R	guidorzi09
89.4	1.147170506862575e-12	9.614992393819293e-13	r	R	guidorzi09
167.6	1.4984007197873434e-12	1.7948906994504154e-13	r	R	guidorzi09
