time_sec	mag	mag_err	band	source
43920.8	19.433622901906848	0.105323	r	nissim
44423.7	19.454368901906847	0.105579	r	nissim
44949.1	19.449292901906848	0.108633	r	nissim
45263.1	19.58916190190685	0.12432	r	nissim
45385.4	19.314082901906847	0.095989	r	nissim
45795.3	19.527799901906846	0.119014	r	nissim
38018.95	19.108099901906847	0.005575	r	nissim
29734.8	18.552365511351347	0.037463	i	nissim
29906.2	18.548034511351347	0.035444	i	nissim
30006.4	18.616498511351345	0.03725	i	nissim
30107.7	18.549674511351345	0.037036	i	nissim
30197.1	18.577146511351344	0.03843	i	nissim
30298.4	18.672619511351346	0.037881	i	nissim
30397.6	18.649783511351345	0.03791	i	nissim
30493.4	18.636086511351348	0.038642	i	nissim
30590.5	18.537895511351348	0.035262	i	nissim
30686.1	18.672097511351346	0.037238	i	nissim
30786.6	18.652699511351347	0.037169	i	nissim
30885.1	18.643235511351346	0.038821	i	nissim
30977.4	18.619761511351346	0.037914	i	nissim
31079.9	18.656868511351345	0.036701	i	nissim
31169.4	18.625535511351345	0.037124	i	nissim
31264.4	18.664170511351347	0.041108	i	nissim
31376.7	18.634656511351345	0.039127	i	nissim
31475.0	18.670771511351347	0.03936	i	nissim
31567.2	18.742168511351345	0.040898	i	nissim
31676.6	18.666908511351345	0.039673	i	nissim
31768.1	18.637191511351347	0.03985	i	nissim
31871.7	18.724610511351347	0.040832	i	nissim
31973.9	18.754083511351347	0.04313	i	nissim
32071.6	18.628824511351347	0.037935	i	nissim
32164.5	18.678235511351346	0.039139	i	nissim
32262.1	18.672090511351346	0.037728	i	nissim
32364.7	18.717130511351346	0.038805	i	nissim
32463.7	18.723703511351346	0.041624	i	nissim
32554.8	18.763674511351347	0.043199	i	nissim
32652.7	18.661513511351345	0.03852	i	nissim
32752.0	18.689213511351348	0.039179	i	nissim
32845.7	18.586087511351344	0.038738	i	nissim
32959.2	18.681763511351345	0.042834	i	nissim
33053.8	18.731249511351347	0.043668	i	nissim
33154.1	18.721855511351347	0.042095	i	nissim
33249.4	18.679156511351344	0.042395	i	nissim
33349.8	18.754670511351346	0.045219	i	nissim
33446.1	18.736377511351346	0.042247	i	nissim
33547.8	18.736240511351347	0.043646	i	nissim
33642.5	18.698011511351346	0.042624	i	nissim
33732.9	18.696631511351345	0.044697	i	nissim
33837.3	18.806145511351346	0.047128	i	nissim
33945.4	18.760983511351345	0.044114	i	nissim
34043.0	18.701857511351346	0.043965	i	nissim
34133.5	18.841348511351345	0.049888	i	nissim
34232.4	18.911447511351344	0.052458	i	nissim
34325.3	18.724804511351348	0.044915	i	nissim
34421.4	18.725830511351347	0.047429	i	nissim
35323.0	18.826292511351348	0.053775	i	nissim
35496.2	18.832054511351345	0.049529	i	nissim
35590.5	18.942152511351345	0.054204	i	nissim
35692.7	18.689983511351347	0.057409	i	nissim
35881.1	18.930497511351344	0.055748	i	nissim
36080.8	18.868286511351346	0.058126	i	nissim
36171.1	18.515039511351347	0.091857	i	nissim
