time_sec	flux	flux_err	band	source
17199.2	2.576901682104957e-13	1.4358512060351884e-14	r	nissim
17383.3	2.6390076490124963e-13	1.4413734075243906e-14	r	nissim
17487.6	2.502959653223768e-13	1.7604566432415406e-14	r	nissim
17688.8	2.665602880290808e-13	1.300363838033588e-14	r	nissim
17778.6	2.479213048500453e-13	1.388991049487964e-14	r	nissim
17881.7	2.0600693895211882e-13	1.3714078398508103e-14	r	nissim
17971.2	2.261794007001448e-13	1.3265472751463931e-14	r	nissim
18058.5	2.5234628838702293e-13	1.3491698770180734e-14	i	nissim
18146.7	2.463955847782645e-13	1.3801354879182238e-14	i	nissim
18243.1	2.2915189286402466e-13	1.4084135603325443e-14	r	nissim
18348.1	2.577604308469013e-13	1.6983588531433133e-14	r	nissim
18435.8	2.3472116334918773e-13	1.9837599055414043e-14	r	nissim
18533.1	2.572793449542531e-13	1.4640152114661323e-14	i	nissim
18629.3	2.4789725702192533e-13	1.8455868137664663e-14	i	nissim
18716.6	2.591004987661e-13	1.635040275371271e-14	r	nissim
18821.6	2.5305041215412925e-13	1.5979559173460396e-14	r	nissim
18919.4	2.524251651087931e-13	1.831701052349533e-14	r	nissim
19031.8	2.534156600514088e-13	1.8842311258535217e-14	r	nissim
19127.5	2.8505604090316734e-13	1.4607449776449257e-14	r	nissim
19223.6	2.377982471287285e-13	1.449390321086011e-14	r	nissim
19311.6	2.380337405549417e-13	1.432848541470252e-14	i	nissim
19415.6	2.429825295852042e-13	1.4247850289094264e-14	r	nissim
19511.9	2.352878216779879e-13	1.3707033329755691e-14	r	nissim
16469.4	1.811588057379236e-13	1.9773947260047013e-14	r	nissim
19689.2	2.47586094393188e-13	1.517613273106869e-14	r	nissim
19786.7	2.428447108541112e-13	1.4297413363446074e-14	r	nissim
19882.6	2.4064644424916084e-13	1.4089613657428774e-14	r	nissim
19979.3	2.789918065037534e-13	1.4172501503532376e-14	r	nissim
20076.8	2.5333584830079e-13	1.4066948342676136e-14	r	nissim
20173.3	2.5279998800259e-13	1.4341618904248903e-14	r	nissim
20261.1	2.6526224995966693e-13	1.3779775022288924e-14	r	nissim
20358.8	2.364086968240807e-13	1.4435747394486874e-14	r	nissim
20446.2	2.320584830685848e-13	1.4668059816451067e-14	r	nissim
20556.4	2.482194728737987e-13	1.443435144801909e-14	r	nissim
20649.0	2.749440014713871e-13	1.774209905755377e-14	r	manual
20652.1	2.360611515351319e-13	1.3115232965444227e-14	i	nissim
20748.9	2.5348078826012137e-13	1.3523544486552862e-14	r	nissim
20836.2	2.321136329313413e-13	1.3260095103640882e-14	r	nissim
20933.8	2.2938304909235666e-13	1.1995928763535195e-14	i	nissim
21029.7	2.6101763419204226e-13	1.3430597993529735e-14	r	nissim
21117.4	2.494250806604176e-13	1.2695808412675786e-14	i	nissim
21319.1	2.6655758742068133e-13	1.35621843414969e-14	r	nissim
21405.7	2.723713660610983e-13	1.3093009381889115e-14	r	nissim
21493.7	2.733351278935384e-13	1.2723632256876776e-14	r	nissim
21590.9	2.398586148350264e-13	1.161254395282934e-14	i	nissim
21687.0	2.543061841343572e-13	1.2029469546867248e-14	i	nissim
21774.2	2.881858473256863e-13	1.2335583243813588e-14	r	nissim
21870.6	2.360381754879276e-13	1.2371504425499188e-14	r	nissim
21966.9	2.699906030995107e-13	1.3370852133093948e-14	r	nissim
22486.4	2.455026865528832e-13	1.2644247576475531e-14	r	nissim
22583.1	2.4577462888577056e-13	1.2217930055478804e-14	r	nissim
22678.9	2.310712155729294e-13	1.1737546412053271e-14	r	nissim
22767.8	2.130786070367063e-13	1.1696928007082006e-14	r	nissim
22864.2	2.502447926492192e-13	1.1984503494162996e-14	r	nissim
22896.0	2.732348265979875e-20	8.050357386780724e-21	uvw1	manual
22962.2	2.327601610412473e-13	1.3219084598477656e-14	r	nissim
23051.8	2.362102009060578e-13	1.2594313323769442e-14	r	nissim
23139.6	2.686194459500692e-13	1.3138179656828132e-14	r	nissim
23237.6	2.547235208366944e-13	1.1639698418363804e-14	r	nissim
23333.9	2.675182710767187e-13	1.1911519103912996e-14	r	nissim
