Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
           1275.9000               0.0010    1.7825818111560977e-03    3.0582123298195178e-04
           1324.0000               0.0010    2.0615499966457063e-03    7.5289945670618981e-04
           1331.0000               0.0010    1.4397923756143960e-03    9.2826847582984899e-05
           1351.2000               0.0010    1.9231017864900575e-03    5.7153102429252406e-04
           1365.2000               0.0010    1.6570189317673663e-03    2.7385627065308263e-04
           1413.0000               0.0010    1.4276346146525633e-03    3.8579745172125345e-04
           1463.1000               0.0010    1.7989267130951822e-03    4.3667944195613790e-04
           1464.2000               0.0010    1.5947252479369747e-03    3.5227330802984616e-04
           1508.0000               0.0010    1.3623850493355968e-03    1.0038424306643248e-04
           1513.0000               0.0010    1.3676037063355736e-03    3.5981352813590367e-04
           1529.0000               0.0010    1.7578048998648033e-03    6.9407044964460158e-04
           1553.1000               0.0010    1.5577360472836213e-03    3.9179406273876139e-04
           1556.0000               0.0010    1.6829711469609873e-03    3.7029852980254989e-04
           1571.0000               0.0010    1.4506941825678256e-03    3.8427696745028180e-04
           1633.1000               0.0010    1.7592723243707638e-03    5.2343536507204447e-04
           1648.8000               0.0010    1.5911263577338569e-03    2.6364309564106450e-04
           1666.0000               0.0010    1.4534706601505264e-03    3.7494801000739558e-04
           1682.0000               0.0010    1.9254252875551070e-03    8.1574497657341521e-04
           1687.0000               0.0010    1.5498864089000691e-03    9.9924872423715316e-05
           1724.0000               0.0010    1.2967775064780284e-03    3.5870831104764614e-04
           1738.1000               0.0010    1.5278526430653884e-03    2.4922444239667776e-04
           1825.0000               0.0010    1.4984058837275072e-03    3.9245844120623061e-04
           1836.0000               0.0010    1.6343063579893605e-03    4.0653604998816257e-04
           1837.8000               0.0010    1.7355737408331373e-03    3.8100735076866151e-04
           1840.0000               0.0010    1.4874784057818270e-03    6.3922933562050540e-04
           1883.0000               0.0010    1.0785519480390670e-03    3.2449079951110357e-04
           1910.6000               0.0010    1.8122690387851455e-03    5.3551942643181773e-04
           1925.0000               0.0010    1.7562788474037108e-03    4.3168013879552042e-04
           1928.9000               0.0010    1.6194556916456250e-03    3.5733257516257119e-04
           1983.0000               0.0010    1.5684254111504941e-03    3.9009701877709560e-04
           1999.0000               0.0010    2.1412918893398509e-03    1.0174742402311186e-03
           2017.8000               0.0010    1.7009841644927024e-03    4.2519590257544723e-04
           2024.0000               0.0010    1.6572722954980952e-03    3.6505717271949172e-04
           2041.0000               0.0010    9.3371313145793121e-04    2.9322899246378811e-04
           2043.0000               0.0010    1.6379470955666703e-03    1.0560235487028360e-04
           2067.0000               0.0010    1.5208061839135807e-03    3.9829123415931309e-04
           2074.2000               0.0010    1.6070428990485970e-03    3.6183445714896691e-04
           2136.0000               0.0010    1.0801435274975300e-03    3.2955839948342012e-04
           2152.0000               0.0010    1.8119903102521630e-03    9.6240444315260569e-04
           2182.8000               0.0010    1.9518528421893014e-03    5.7637072509909252e-04
           2195.0000               0.0010    1.3527323279547245e-03    2.3092665235021105e-04
           2199.0000               0.0010    1.7442144121837685e-03    4.4944731073109576e-04
           2221.0000               0.0010    1.3749910431783894e-03    1.0131308704532520e-04
           2283.9000               0.0010    1.4434743447490387e-03    2.5639105762167275e-04
           2375.0000               0.0010    1.2372021568699740e-03    2.1680648889386609e-04
           2399.0000               0.0010    9.7791220609486388e-04    8.1062140782004494e-05
           2536.4000               0.0010    1.6456242188689447e-03    4.8970891628848296e-04
           2557.1000               0.0010    1.0443062263570328e-03    2.6999881731656352e-04
           2558.9000               0.0010    9.5971850056888314e-04    2.2236395559628485e-04
           2646.0000               0.0010    9.4874143176552613e-04    2.4689335571596339e-04
           2648.9000               0.0010    9.5971850056888314e-04    2.2395218950571621e-04
           2665.0000               0.0010    6.7034730001030952e-04    4.9393015826163479e-05
           2736.0000               0.0010    9.4874143176552613e-04    2.5105565512815005e-04
           2740.0000               0.0010    9.5236245695463223e-04    2.1943532335268659e-04
           2790.9000               0.0010    8.8183364829818483e-04    2.0696569943875310e-04
           2825.0000               0.0010    8.2813638430469802e-04    2.2541353988844771e-04
           2964.0000               0.0010    5.2275700711887558e-04    4.8147701060076194e-05
           3093.7000               0.0010    7.9819805579678881e-04    1.3575532101130824e-04
           3239.6000               0.0010    1.0701106037617667e-03    3.3146778480188966e-04
           3293.0000               0.0010    6.0020535212203393e-04    4.9752861707412972e-05
           3512.1000               0.0010    6.6336028106399043e-04    1.7730613472337440e-04
           3632.0000               0.0010    6.5811208271347786e-04    7.8798673969566191e-05
           4011.4000               0.0010    7.5839430882263220e-04    2.0551593564781278e-04
           4059.2000               0.0010    7.1827419641900354e-04    1.2297657839934926e-04
           4126.0000               0.0010    1.0311367542005340e-03    3.2385160862620309e-04
           4550.5000               0.0010    7.2194857742416310e-04    1.7308332303706155e-04
           4825.6000               0.0010    7.2194857742416310e-04    1.6957137998903317e-04
           4878.3000               0.0010    8.2535857143111520e-04    2.6312099656694278e-04
           5801.9000               0.0010    7.3451702254212470e-04    1.9195500412269261e-04
           5943.0000               0.0010    5.4032748948775952e-04    1.3337157741953896e-04
           6149.0000               0.0010    6.9106462867365927e-04    2.7466536655639646e-04
           6555.0000               0.0010    3.6570749456451716e-04    9.6353357911541473e-05
           6926.5000               0.0010    3.9311884307665712e-04    1.0802134568875147e-04
           7372.0000               0.0010    3.3449856577735722e-04    9.4199658788652398e-05
           7431.6000               0.0010    4.0318378834516692e-04    1.1100474134553051e-04
           7519.1000               0.0010    5.2101552313413432e-04    1.8136570419181430e-04
           7548.4000               0.0010    3.5741424729593142e-04    6.5956246361258518e-05
           7578.0000               0.0010    5.0625329475903057e-04    2.0792397899902288e-04
           7947.0000               0.0010    2.9694215719307812e-04    1.0929994588326788e-04
           9335.1000               0.0010    3.1692803623019355e-04    7.9068353486661758e-05
           9971.9000               0.0010    3.7311289665607940e-04    1.3131174494582413e-04
          10653.8000               0.0010    2.1609496957751347e-04    5.0435444779560717e-05
          11327.2000               0.0010    3.0965910875621388e-04    8.7298727444030418e-05
          11833.2000               0.0010    4.4254420872354058e-04    1.4967202444648688e-04
          11836.5000               0.0010    2.5946588151153440e-04    6.6412628704915725e-05
          13730.0000               0.0010    1.3131062061259171e-04    2.7816557537620963e-05
          14409.2000               0.0010    2.4951936590654472e-04    7.5204970797818158e-05
          14733.0000               0.0010    8.5172589470509911e-05    1.5689371239384125e-05
          18360.0000               0.0010    1.2203046143217377e-04    3.6554695566926250e-05
          21710.0000               0.0010    2.2688211262594194e-04    5.6854288776067073e-05
