Tstart(daltrigger) Tend    Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  LowerLimit
  29132.3 -9. -9. 1.d-3 -9. RC 20.55  0.08 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  29319.8 -9. -9. 1.d-3 -9. RC 20.64  0.09 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
  29743.2 -9. -9. 1.d-3 -9. RC 20.69  0.10 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
  29774.3 -9. -9. 1.d-3 -9. RC 20.51  0.08 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  31269.0 -9. -9. 1.d-3 -9. RC 20.49  0.06 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  31910.9 -9. -9. 1.d-3 -9. RC 20.62  0.07 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  32553.8 -9. -9. 1.d-3 -9. RC 20.55  0.06 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  33196.6 -9. -9. 1.d-3 -9. RC 20.60  0.07 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  33857.6 -9. -9. 1.d-3 -9. RC 20.58  0.06 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  34244.6 -9. -9. 1.d-3 -9. RC 20.55  0.05 -9. -9. -9.  VLT  sollerman07 0 NNN 0. 0. 0 nnn
  34499.5 -9. -9. 1.d-3 -9. RC 20.60  0.06 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  35142.3 -9. -9. 1.d-3 -9. RC 20.60  0.06 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  35784.2 -9. -9. 1.d-3 -9. RC 20.73  0.07 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  36427.1 -9. -9. 1.d-3 -9. RC 20.59  0.06 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  37070.8 -9. -9. 1.d-3 -9. RC 20.65  0.06 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  37714.5 -9. -9. 1.d-3 -9. RC 20.71  0.07 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  38356.3 -9. -9. 1.d-3 -9. RC 20.74  0.08 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  39329.3 -9. -9. 1.d-3 -9. RC 20.57  0.08 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  39976.4 -9. -9. 1.d-3 -9. RC 20.69  0.09 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  40619.1 -9. -9. 1.d-3 -9. RC 20.66  0.09 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  41261.2 -9. -9. 1.d-3 -9. RC 20.78  0.10 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  41904.1 -9. -9. 1.d-3 -9. RC 20.83  0.11 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  42546.0 -9. -9. 1.d-3 -9. RC 20.71  0.09 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  43192.2 -9. -9. 1.d-3 -9. RC 20.73  0.11 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  43835.0 -9. -9. 1.d-3 -9. RC 20.82  0.11 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  44477.0 -9. -9. 1.d-3 -9. RC 20.98  0.12 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  45240.9 -9. -9. 1.d-3 -9. RC 20.71  0.10 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
  80943.8 -9. -9. 1.d-3 -9. RC 21.17  0.09 -9. -9. -9.  Maidanak  sollerman07 0 NNN 0. 0. 0 nnn
  90110.9 -9. -9. 1.d-3 -9. RC 21.34  0.10 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
  90542.9 -9. -9. 1.d-3 -9. RC 21.30  0.06 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
 107200.8 -9. -9. 1.d-3 -9. RC 21.42  0.09 -9. -9. -9.  VLT  sollerman07 0 NNN 0. 0. 0 nnn
 107261.3 -9. -9. 1.d-3 -9. RC 21.45  0.12 -9. -9. -9.  VLT  sollerman07 0 NNN 0. 0. 0 nnn
 108600.5 -9. -9. 1.d-3 -9. RC 21.57  0.11 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
 109058.4 -9. -9. 1.d-3 -9. RC 21.47  0.10 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
 109559.5 -9. -9. 1.d-3 -9. RC 21.35  0.10 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
 111140.6 -9. -9. 1.d-3 -9. RC 21.47  0.07 -9. -9. -9.  VLT  sollerman07 0 NNN 0. 0. 0 nnn
 114503.3 -9. -9. 1.d-3 -9. RC 21.56  0.04 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
 117117.8 -9. -9. 1.d-3 -9. RC 21.67  0.05 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
 119717.6 -9. -9. 1.d-3 -9. RC 21.68  0.05 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
 120031.2 -9. -9. 1.d-3 -9. RC 21.63  0.15 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
 120445.9 -9. -9. 1.d-3 -9. RC 21.59  0.11 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
 121643.4 -9. -9. 1.d-3 -9. RC 21.71  0.06 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
 202063.7 -9. -9. 1.d-3 -9. RC 21.90  0.05 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
 205364.2 -9. -9. 1.d-3 -9. RC 21.77  0.05 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
 265105.4 -9. -9. 1.d-3 -9. RC 22.17  0.08 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
 266453.3 -9. -9. 1.d-3 -9. RC 22.09  0.06 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
 291155.9 -9. -9. 1.d-3 -9. RC 22.08  0.04 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
 376063.8 -9. -9. 1.d-3 -9. RC 22.18  0.05 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
 447435.4 -9. -9. 1.d-3 -9. RC 22.22  0.06 -9. -9. -9.  WHT  sollerman07 0 NNN 0. 0. 0 nnn
 713936.2 -9. -9. 1.d-3 -9. RC 22.64  0.13 -9. -9. -9.  D1.5k  sollerman07 0 NNN 0. 0. 0 nnn
 850785.1 -9. -9. 1.d-3 -9. RC 22.68  0.12 -9. -9. -9.  CrAOk  sollerman07 0 NNN 0. 0. 0 nnn
 939375.4 -9. -9. 1.d-3 -9. RC 23.00  0.08 -9. -9. -9.  CrAOk  sollerman07 0 NNN 0. 0. 0 nnn
1483116.5 -9. -9. 1.d-3 -9. RC 22.76  0.07 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
1767821.8 -9. -9. 1.d-3 -9. RC 22.95  0.06 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
1888548.5 -9. -9. 1.d-3 -9. RC 22.70  0.60 -9. -9. -9.  Maidanak  sollerman07 0 NNN 0. 0. 0 nnn
3054421.4 -9. -9. 1.d-3 -9. RC 23.59  0.09 -9. -9. -9.  MDM  sollerman07 0 NNN 0. 0. 0 nnn
3100783.7 -9. -9. 1.d-3 -9. RC 23.44  0.13 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
3648196.8 -9. -9. 1.d-3 -9. RC 23.72  0.09 -9. -9. -9.  VLT  sollerman07 0 NNN 0. 0. 0 nnn
3791413.4 -9. -9. 1.d-3 -9. RC 24.00  0.30 -9. -9. -9.  CrAO  sollerman07 0 NNN 0. 0. 0 nnn
6460015.7 -9. -9. 1.d-3 -9. RC 23.94  0.23 -9. -9. -9.  CrAO  sollerman07 0 NNN 0. 0. 0 nnn
8994456.0 -9. -9. 1.d-3 -9. RC 23.70  0.15 -9. -9. -9.  NTT  sollerman07 0 NNN 0. 0. 0 nnn
   3140.7 -9. -9. 1.d-3 -9. IC 18.84  0.06 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
   3443.1 -9. -9. 1.d-3 -9. IC 18.84  0.05 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
   5058.7 -9. -9. 1.d-3 -9. IC 19.26  0.06 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
   6238.1 -9. -9. 1.d-3 -9. IC 19.11  0.06 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
   6544.8 -9. -9. 1.d-3 -9. IC 19.38  0.07 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
   9370.1 -9. -9. 1.d-3 -9. IC 19.48  0.05 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
   9741.5 -9. -9. 1.d-3 -9. IC 19.57  0.07 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
  10381.0 -9. -9. 1.d-3 -9. IC 19.50  0.04 -9. -9. -9.  NOT  sollerman07 0 NNN 0. 0. 0 nnn
  16005.5 -9. -9. 1.d-3 -9. IC 19.84  0.08 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
  17811.4 -9. -9. 1.d-3 -9. IC 19.92  0.08 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
  18744.4 -9. -9. 1.d-3 -9. IC 19.98  0.09 -9. -9. -9.  OSN  sollerman07 0 NNN 0. 0. 0 nnn
  25345.4 -9. -9. 1.d-3 -9. IC 19.97  0.09 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
  25855.2 -9. -9. 1.d-3 -9. IC 19.93  0.08 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
  33337.4 -9. -9. 1.d-3 -9. IC 20.10  0.07 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
  34477.9 -9. -9. 1.d-3 -9. IC 20.12  0.08 -9. -9. -9.  D1.5  sollerman07 0 NNN 0. 0. 0 nnn
 119266.6 -9. -9. 1.d-3 -9. KS 19.03  0.05 -9. -9. -9.  VLT  sollerman07 0 NNN 0. 0. 0 nnn   
