Time(s)	Mag	MagErr	Filter	System	Observatory/Telescope	GalExtCorr	Source
282115.8	22.09	0.03	R	Johnson-Cousins	NTT-SUSI2	no	astro-ph/0302350
283498.2	21.44	0.02	I	Johnson-Cousins	NTT-SUSI2	no	astro-ph/0302350
360826.2	22.23	0.04	R	Johnson-Cousins	NTT-EMMI	no	astro-ph/0302350
359875.8	22.76	0.06	V	Johnson-Cousins	NTT-EMMI	no	astro-ph/0302350
361690.2	21.7	0.06	I	Johnson-Cousins	NTT-EMMI	no	astro-ph/0302350
610695	23.59	0.04	V	Johnson-Cousins	VLT_Yepun-FORS2	no	astro-ph/0302350
611559	23.09	0.04	R	Johnson-Cousins	VLT_Yepun-FORS2	no	astro-ph/0302350
882077.4	23.99	0.07	V	Johnson-Cousins	ESO-VLT-3(Melipal)+FORS1	no	astro-ph/0302350
882595.8	23.36	0.04	R	Johnson-Cousins	ESO-VLT-3(Melipal)+FORS1	no	astro-ph/0302350
883114.2	22.53	0.06	I	Johnson-Cousins	ESO-VLT-3(Melipal)+FORS1	no	astro-ph/0302350
1914989.4	22.4	0.1	Js	Johnson-Cousins	Antu-ISAAC 	no	astro-ph/0302350
2865389.4	22.7	0	Js	Johnson-Cousins	Antu-ISAAC 	no	astro-ph/0302350
