T_start(s)	Mag	MagErr	Filter	System	Telescope	GalExtCorr	Source
2430	16.75	0.11	RC	APASS	Terskol	yes	kann10
2490	16.86	0.1	RC	APASS	Terskol	yes	kann10
2550	16.94	0.11	RC	APASS	Terskol	yes	kann10
2610	16.88	0.09	RC	APASS	Terskol	yes	kann10
2670	16.75	0.08	RC	APASS	Terskol	yes	kann10
2730	16.95	0.13	RC	APASS	Terskol	yes	kann10
2790	17.08	0.13	RC	APASS	Terskol	yes	kann10
2850	16.9	0.11	RC	APASS	Terskol	yes	kann10
2910	16.99	0.13	RC	APASS	Terskol	yes	kann10
2970	16.89	0.12	RC	APASS	Terskol	yes	kann10
3030	16.87	0.1	RC	APASS	Terskol	yes	kann10
3090	16.87	0.1	RC	APASS	Terskol	yes	kann10
3150	17.07	0.12	RC	APASS	Terskol	yes	kann10
3210	16.98	0.11	RC	APASS	Terskol	yes	kann10
3270	17.26	0.17	RC	APASS	Terskol	yes	kann10
3280	17.08	0.02	RC	APASS	NOT	yes	kann10
3330	17.1	0.13	RC	APASS	Terskol	yes	kann10
3390	17.05	0.13	RC	APASS	Terskol	yes	kann10
3450	16.98	0.11	RC	APASS	Terskol	yes	kann10
3510	17.03	0.11	RC	APASS	Terskol	yes	kann10
3570	16.97	0.12	RC	APASS	Terskol	yes	kann10
3630	17.31	0.15	RC	APASS	Terskol	yes	kann10
3690	17.05	0.13	RC	APASS	Terskol	yes	kann10
3750	17.11	0.12	RC	APASS	Terskol	yes	kann10
3810	17.21	0.14	RC	APASS	Terskol	yes	kann10
3870	17.06	0.13	RC	APASS	Terskol	yes	kann10
3930	17.19	0.14	RC	APASS	Terskol	yes	kann10
3990	17.32	0.16	RC	APASS	Terskol	yes	kann10
4050	17.03	0.11	RC	APASS	Terskol	yes	kann10
4110	17.19	0.12	RC	APASS	Terskol	yes	kann10
4170	17.09	0.13	RC	APASS	Terskol	yes	kann10
4230	17.22	0.16	RC	APASS	Terskol	yes	kann10
4290	17.36	0.16	RC	APASS	Terskol	yes	kann10
4350	17.45	0.17	RC	APASS	Terskol	yes	kann10
4410	17	0.11	RC	APASS	Terskol	yes	kann10
4470	17.4	0.19	RC	APASS	Terskol	yes	kann10
4530	17.33	0.2	RC	APASS	Terskol	yes	kann10
4590	17.33	0.17	RC	APASS	Terskol	yes	kann10
4650	17.22	0.13	RC	APASS	Terskol	yes	kann10
4710	17.43	0.19	RC	APASS	Terskol	yes	kann10
4770	17.62	0.22	RC	APASS	Terskol	yes	kann10
4830	17.61	0.25	RC	APASS	Terskol	yes	kann10
4890	17.29	0.19	RC	APASS	Terskol	yes	kann10
4950	17.8	0.27	RC	APASS	Terskol	yes	kann10
5010	17.69	0.23	RC	APASS	Terskol	yes	kann10
5070	17.68	0.24	RC	APASS	Terskol	yes	kann10
5130	17.51	0.19	RC	APASS	Terskol	yes	kann10
5190	17.78	0.31	RC	APASS	Terskol	yes	kann10
5250	17.43	0.19	RC	APASS	Terskol	yes	kann10
5310	17.45	0.22	RC	APASS	Terskol	yes	kann10
5370	17.73	0.27	RC	APASS	Terskol	yes	kann10
5430	17.27	0.17	RC	APASS	Terskol	yes	kann10
5490	17.13	0.24	RC	APASS	Terskol	yes	kann10
5550	17.55	0.22	RC	APASS	Terskol	yes	kann10
5610	17.67	0.31	RC	APASS	Terskol	yes	kann10
5670	17.5	0.28	RC	APASS	Terskol	yes	kann10
5730	17.3	0.25	RC	APASS	Terskol	yes	kann10
5850	17.56	0.67	RC	APASS	Terskol	yes	kann10
5910	17.57	0.29	RC	APASS	Terskol	yes	kann10
5970	17.72	0.56	RC	APASS	Terskol	yes	kann10
6030	17.8	0.53	RC	APASS	Terskol	yes	kann10
27800	19.63	0.03	RC	APASS	MDM	yes	kann10
29600	19.66	0.03	RC	APASS	MDM	yes	kann10
31400	19.8	0.06	RC	APASS	D1.5	yes	kann10
32700	19.8	0.06	RC	APASS	D1.5	yes	kann10
34000	19.85	0.06	RC	APASS	D1.5	yes	kann10
34600	19.92	0.06	RC	APASS	D1.5	yes	kann10
36100	19.88	0.03	RC	APASS	MDM	yes	kann10
38800	19.98	0.03	RC	APASS	MDM	yes	kann10
87700	21.22	0.04	RC	APASS	NOT	yes	kann10
89200	21.2	0.05	RC	APASS	INT	yes	kann10
102000	21.57	0.05	RC	APASS	VLT	yes	kann10
103000	21.52	0.05	RC	APASS	NOT	yes	kann10
116000	21.67	0.06	RC	APASS	MDM	yes	kann10
176000	22.28	0.08	RC	APASS	INT	yes	kann10
198000	22.54	0.29	RC	APASS	MDM	yes	kann10
202000	22.74	0.11	RC	APASS	MDM	yes	kann10
263000	22.97	0.13	RC	APASS	INT	yes	kann10
348000	23.56	0.08	RC	APASS	NOT	yes	kann10
606000	24.54	0.14	RC	APASS	WHT	yes	kann10
7850	17.4	0.02	IC	APASS	NOT	yes	kann10
8670	17.5	0.02	IC	APASS	NOT	yes	kann10
31700	19.27	0.04	IC	APASS	D1.5	yes	kann10
89400	20.74	0.05	IC	APASS	INT	yes	kann10
101000	21.05	0.04	IC	APASS	NOT	yes	kann10
