T_start(s)	Mag	MagErr	System	Filter	Telescope	GalExtCorr	Source
913	14.87	0.01	VEGA	IC	P60	yes	cenko06
1300	15.33	0.02	VEGA	IC	P60	yes	cenko06
1940	15.83	0.02	VEGA	IC	P60	yes	cenko06
2590	16.16	0.02	VEGA	IC	P60	yes	cenko06
3920	16.63	0.03	VEGA	IC	P60	yes	cenko06
6380	17.11	0.05	VEGA	IC	P60	yes	cenko06
7890	17.31	0.04	VEGA	IC	P60	yes	cenko06
7920	17.4	0.08	VEGA	IC	PROMPT	yes	cenko06
9410	17.32	0.05	VEGA	IC	P60	yes	cenko06
11000	17.43	0.03	VEGA	IC	P60	yes	cenko06
13600	17.57	0.04	VEGA	IC	P60	yes	cenko06
15200	17.77	0.04	VEGA	IC	P60	yes	cenko06
16800	17.8	0.05	VEGA	IC	P60	yes	cenko06
18400	17.81	0.04	VEGA	IC	P60	yes	cenko06
77400	18.42	0.11	VEGA	IC	PROMPT	yes	cenko06
176000	20.06	0.12	VEGA	IC	P60	yes	cenko06
266000	20.57	0.12	VEGA	IC	P60	yes	cenko06
355000	20.68	0.11	VEGA	IC	P60	yes	cenko06
447000	21.11	0.15	VEGA	IC	P60	yes	cenko06
512000	21.34	0.1	VEGA	IC	HET	yes	cenko06
529000	21.26	0.14	VEGA	IC	P60	yes	cenko06
612000	21.39	0.13	VEGA	IC	P60	yes	cenko06
3180000	24.41	0.09	VEGA	ii	HST	yes	cenko06
3180000	24.36	0.09	VEGA	IC	HST	yes	cenko06
417	13.99	0.11	VEGA	zz	P60	yes	cenko06
712	14.33	0.14	VEGA	zz	P60	yes	cenko06
1020	14.68	0.21	VEGA	zz	P60	yes	cenko06
1460	15.08	0.13	VEGA	zz	P60	yes	cenko06
2100	15.55	0.14	VEGA	zz	P60	yes	cenko06
2750	16.02	0.2	VEGA	zz	P60	yes	cenko06
3180000	24.15	0.09	VEGA	zz	HST	yes	cenko06
47.8	18.38	100	USNO	CR	RAPTOR	no	vestrand06
84.2	18.27	0.29	USNO	CR	RAPTOR	no	vestrand06
120	18.39	100	USNO	CR	RAPTOR	no	vestrand06
155	17.54	0.15	USNO	CR	RAPTOR	no	vestrand06
181	17.53	0.2	USNO	CR	RAPTOR	no	vestrand06
199	17.67	100	USNO	CR	RAPTOR	no	vestrand06
230	15.44	0.03	USNO	CR	RAPTOR	no	vestrand06
267	15.3	0.02	USNO	CR	RAPTOR	no	vestrand06
305	15.87	0.03	USNO	CR	RAPTOR	no	vestrand06
343	15.12	0.02	USNO	CR	RAPTOR	no	vestrand06
380	14.97	0.02	USNO	CR	RAPTOR	no	vestrand06
427	14.63	0.02	USNO	CR	RAPTOR	no	vestrand06
455	14.78	0.02	USNO	CR	RAPTOR	no	vestrand06
493	14.74	0.02	USNO	CR	RAPTOR	no	vestrand06
531	14.72	0.02	USNO	CR	RAPTOR	no	vestrand06
568	14.76	0.02	USNO	CR	RAPTOR	no	vestrand06
609	14.9	0.02	USNO	CR	RAPTOR	no	vestrand06
647	14.98	0.02	USNO	CR	RAPTOR	no	vestrand06
684	15.04	0.02	USNO	CR	RAPTOR	no	vestrand06
722	15.06	0.02	USNO	CR	RAPTOR	no	vestrand06
147000	21	0.06	APASS	BJ	RTT150	yes	kann10
232000	22.24	0.06	APASS	BJ	RTT150	yes	kann10
315000	22.57	0.08	APASS	BJ	RTT150	yes	kann10
43000	18.78	0.14	APASS	RC	MAO	yes	kann10
48700	19.11	0.23	APASS	RC	MAO	yes	kann10
54900	19.44	0.1	APASS	RC	MAO	yes	kann10
55600	19.38	0.14	APASS	RC	MAO	yes	kann10
56500	19.19	0.12	APASS	RC	MAO	yes	kann10
57100	19.46	0.12	APASS	RC	MAO	yes	kann10
57800	19.33	0.13	APASS	RC	MAO	yes	kann10
65000	19.48	0.01	APASS	RC	RTT150	yes	kann10
137000	20.41	0.35	APASS	RC	MAO	yes	kann10
149000	20.38	0.05	APASS	RC	RTT150	yes	kann10
221000	20.96	0.38	APASS	RC	MAO	yes	kann10
232000	21.02	0.03	APASS	RC	RTT150	yes	kann10
316000	21.3	0.04	APASS	RC	RTT150	yes	kann10
395000	21.12	0.14	APASS	RC	MAO	yes	kann10
478000	21.24	0.2	APASS	RC	MAO	yes	kann10
663000	22.14	0.1	APASS	RC	RTT150	yes	kann10
150000	19.83	0.07	APASS	IC	RTT150	yes	kann10
232000	20.46	0.05	APASS	IC	RTT150	yes	kann10
316000	20.87	0.09	APASS	IC	RTT150	yes	kann10
6080	16.01	0.1	2MASS	J	WIRO	yes	kann10
7020	16.39	0.02	2MASS	J	UKIRT	yes	kann10
7530	16.3	0.1	2MASS	J	WIRO	yes	kann10
8100	16.5	0.11	2MASS	J	WIRO	yes	kann10
9160	17.04	0.12	2MASS	J	WIRO	yes	kann10
10300	16.62	0.1	2MASS	J	WIRO	yes	kann10
10900	16.67	0.1	2MASS	J	WIRO	yes	kann10
11900	16.69	0.1	2MASS	J	WIRO	yes	kann10
13200	16.74	0.1	2MASS	J	WIRO	yes	kann10
14200	16.87	0.1	2MASS	J	WIRO	yes	kann10
15100	16.94	0.1	2MASS	J	WIRO	yes	kann10
16100	16.76	0.1	2MASS	J	WIRO	yes	kann10
17100	16.74	0.1	2MASS	J	WIRO	yes	kann10
17900	16.66	0.1	2MASS	J	WIRO	yes	kann10
79800	18.48	0.08	2MASS	J	TNG	yes	kann10
177000	18.68	0.1	2MASS	J	WIRO	yes	kann10
199000	19.55	0.16	2MASS	J	UKIRT	yes	kann10
7240	15.88	0.02	2MASS	H	UKIRT	yes	kann10
81100	17.71	0.05	2MASS	H	TNG	yes	kann10
199000	19.25	0.17	2MASS	H	UKIRT	yes	kann10
7420	15.33	0.06	2MASS	KS	UKIRT	yes	kann10
10300	15.51	0.02	2MASS	KS	UKIRT	yes	kann10
22100	16.26	0.02	2MASS	KS	UKIRT	yes	kann10
70700	17.03	0.06	2MASS	KS	UKIRT	yes	kann10
82200	16.97	0.21	2MASS	KS	TNG	yes	kann10
103000	17.45	0.05	2MASS	KS	UKIRT	yes	kann10
198000	18.18	0.09	2MASS	KS	UKIRT	yes	kann10
329000	19.32	0.18	2MASS	KS	UKIRT	yes	kann10
