time_sec	flux	flux_err	band	source
19285.6	6.862659367705609e-13	1.137849759212579e-14	r	Li_Liang
19684	6.644961100813162e-13	1.1017547255977338e-14	r	Li_Liang
20325	6.328378449813511e-13	9.327046963653377e-15	r	Li_Liang
20956.6	6.184326969452411e-13	1.139289244339221e-14	r	Li_Liang
82337.8	3.743625897452527e-14	1.310272598811368e-15	r	Li_Liang
83119.7	3.716143216736721e-14	1.4033322883098271e-15	r	Li_Liang
91951.5	3.12242807318293e-14	1.179126819786689e-15	r	Li_Liang
92720.5	2.9984198406108374e-14	1.4636899876365454e-15	r	Li_Liang
107789.5	2.188227355568134e-14	2.0154385362444444e-15	r	Li_Liang
108578.3	2.2703480616722452e-14	2.3001809075620605e-15	r	Li_Liang
167820.2	1.3064489463422118e-14	1.2032879240788099e-15	r	Li_Liang
255354.6	5.547437819139478e-15	7.664079833059029e-16	r	Li_Liang
257176	5.971623837078229e-15	8.800121458535292e-16	r	Li_Liang
435111.6	3.631553469797596e-15	4.682705990677559e-16	r	Li_Liang
436923.4	4.055948602766893e-15	5.977074462109591e-16	r	Li_Liang
438734.3	3.2515650210661252e-15	5.390649203909442e-16	r	Li_Liang
