Title: First ALMA Light Curve Constrains Refreshed Reverse 
       Shocks & Jet Magnetization in GRB 161219B  
Authors: Laskar T., Alexander K.D., Berger E., Guidorzi C., Margutti R., 
         Fong W.-F.., Kilpatrick C.D., Milne P., Drout M.R., Mundell C.G., 
         Kobayashi S., Lunnan R., Duran R.B., Menten K.M., Ioka K., 
         Williams P.K.G. 
Table: Swift UVOT Observations of GRB 161219B
================================================================================
Byte-by-byte Description of file: apjaacbcct2_mrt.txt
1.545E+01 UVU 9.550E-03 2.253E-03 1
1.667E+01 UW2 3.767E-03 6.793E-04 1
1.668E+01 UM2 5.105E-03 9.763E-04 1
1.668E+01 UW1 3.908E-03 9.222E-04 1
1.787E+01 UVU 7.311E-03 1.893E-03 1
1.787E+01 UVB 1.570E-02 3.885E-03 1
1.788E+01 UWh 1.076E-02 8.231E-04 1
1.788E+01 UVV 4.246E-02 9.061E-03 1
1.969E+01 UW2 2.582E-03 9.823E-04 1
1.973E+01 UM2 4.325E-03 1.442E-03 0
1.973E+01 UW1 5.012E-03 1.718E-03 1
2.120E+01 UVV 3.192E-02 7.169E-03 1
2.172E+01 UVU 5.754E-03 1.358E-03 1
2.173E+01 UVB 1.380E-02 2.640E-03 1
2.173E+01 UWh 9.204E-03 6.130E-04 1
2.481E+01 UVU 4.529E-03 1.665E-03 1
2.481E+01 UVB 1.294E-02 3.202E-03 1
2.482E+01 UWh 9.036E-03 6.910E-04 1
2.482E+01 UVV 2.938E-02 6.931E-03 1
2.881E+01 UVB 1.159E-02 3.272E-03 1
2.943E+01 UVU 5.058E-03 1.369E-03 1
2.943E+01 UWh 8.166E-03 6.244E-04 1
2.944E+01 UVV 2.884E-02 6.478E-03 1
3.169E+01 UWh 5.152E-03 1.717E-03 0
3.338E+01 UVU 5.916E-03 1.601E-03 1
3.471E+01 UVV 3.373E-02 7.958E-03 1
3.491E+01 UW1 3.631E-03 1.290E-03 1
3.492E+01 UVB 1.318E-02 3.878E-03 1
3.774E+01 UWh 8.091E-03 6.993E-04 1
3.780E+01 UVV 3.342E-02 1.114E-02 0
4.382E+01 UVB 9.727E-03 3.455E-03 1
4.384E+01 UW1 3.565E-03 8.006E-04 1
4.385E+01 UVU 7.586E-03 1.451E-03 1
4.385E+01 UWh 8.017E-03 6.929E-04 1
4.704E+01 UVV 1.722E-02 6.550E-03 1
5.208E+01 UW1 3.373E-03 6.082E-04 1
5.209E+01 UVU 3.631E-03 1.112E-03 1
5.209E+01 UVB 8.710E-03 2.562E-03 1
5.296E+01 UVV 1.959E-02 6.529E-03 0
5.341E+01 UWh 7.586E-03 9.649E-04 1
6.231E+01 UW1 2.911E-03 5.567E-04 1
6.232E+01 UVU 5.702E-03 1.153E-03 1
6.232E+01 UVB 1.294E-02 3.502E-03 1
6.232E+01 UVV 2.228E-02 7.428E-03 0
7.331E+01 UW1 4.365E-03 6.008E-04 1
7.332E+01 UVU 6.546E-03 1.397E-03 1
7.332E+01 UVV 2.704E-02 9.013E-03 0
7.591E+01 UVB 9.204E-03 3.068E-03 0
8.599E+01 UW1 3.251E-03 5.162E-04 1
8.600E+01 UVU 5.546E-03 1.061E-03 1
8.600E+01 UVV 1.722E-02 5.740E-03 0
8.897E+01 UVB 1.047E-02 3.333E-03 1
1.015E+02 UW1 2.831E-03 5.727E-04 1
1.015E+02 UVU 4.365E-03 1.284E-03 1
1.015E+02 UVV 1.888E-02 6.293E-03 0
1.036E+02 UVB 1.306E-02 4.316E-03 1
1.146E+02 UM2 2.911E-03 6.868E-04 1
1.196E+02 UW2 2.443E-03 3.620E-04 1
1.226E+02 UVU 3.733E-03 1.244E-03 0
