Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
           8565.5000             141.3000    3.9084068916783401e-16    5.0396860945912075e-17
           8857.6500             141.6500    3.1045579361989641e-16    5.1469263583017502e-17
           9148.8000             140.7000    2.1478293194834873e-16    4.3520926046450180e-17
           9439.9000             141.2000    2.4434292438308613e-16    5.6262037579405054e-17
           9731.5500             141.2500    2.5585845181134643e-16    4.0061238317707894e-17
          10023.7000             141.5000    2.2698636335017761e-16    3.5540568359829510e-17
          10319.6500             145.2500    2.2080035469320279e-16    5.6942099841109397e-17
          10614.9500             141.0500    2.3988316333873731e-16    6.6282167578239095e-17
          10906.1000             140.9000    1.6904400168510533e-16    5.6050300613885161e-17
          11196.9000             141.1000    2.2284339525145490e-16    3.6944343393295997e-17
          11779.6000             141.8000    1.0764646238550406e-16    4.6598646289230779e-17
          12071.8000             141.2000    1.7864866095547474e-16    5.2653279230418884e-17
          12363.1000             141.3000    3.4040800903773737e-16    4.3893830841606035e-17
          12946.2000             141.1000    1.4588134676258677e-16    5.9119141790446209e-17
          13704.2000             432.9000    2.0137231653745732e-16    2.9675321256859688e-17
          14599.1500             452.7500    1.6292951500420015e-16    2.8512089533672894e-17
