#Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)				beta	z
            480.2000               0.0010    4.2150898908426790e-04    1.8246534444054097e-05	0.755	3.2425
            505.8000               0.0010    3.1835028206222949e-04    6.4023937802259589e-05	0.755	3.2425
            506.0000               0.0010    3.6587340308060276e-04    1.2858431091898403e-04	0.755	3.2425
            522.0000               0.0010    2.3375087055874804e-04    1.7536569287698606e-04	0.755	3.2425
            525.2000               0.0010    2.9404028734011581e-04    1.7603372848359372e-05	0.755	3.2425
            554.7000               0.0010    3.3366145499874378e-04    7.5799674654567710e-05	0.755	3.2425
            570.2000               0.0010    2.5003847268380465e-04    1.6581164441786925e-05	0.755	3.2425
            584.0000               0.0010    3.2745078746510779e-04    7.9112291352907211e-05	0.755	3.2425
            615.2000               0.0010    2.6497618180498621e-04    1.8059854624095767e-05	0.755	3.2425
            633.8000               0.0010    2.3130191953605830e-04    4.9969439235697593e-05	0.755	3.2425
            660.2000               0.0010    2.5704362518343533e-04    1.7519199164398440e-05	0.755	3.2425
            703.0000               0.0010    2.2699633056349073e-04    5.5340940378434094e-05	0.755	3.2425
            705.2000               0.0010    1.9934568340223289e-04    1.6707979002938688e-05	0.755	3.2425
            750.4000               0.0010    2.0511944660276871e-04    1.6814057773135436e-05	0.755	3.2425
            756.0000               0.0010    1.9209764279387316e-04    8.4324242724164391e-05	0.755	3.2425
            772.2000               0.0010    2.2913911788606430e-04    5.5850357000980138e-05	0.755	3.2425
            788.0000               0.0010    1.3010633197894634e-04    8.4705440345488313e-05	0.755	3.2425
            795.2000               0.0010    1.9989725756613903e-04    1.6017759961113898e-05	0.755	3.2425
            840.2000               0.0010    1.9971323014600402e-04    1.7106669978278444e-05	0.755	3.2425
            841.6000               0.0010    1.6805569523763468e-04    4.6288311611874733e-05	0.755	3.2425
            885.2000               0.0010    2.0663640437730012e-04    1.6177129214933913e-05	0.755	3.2425
            911.2000               0.0010    2.3568917545167543e-04    5.0887129488446227e-05	0.755	3.2425
            930.2000               0.0010    1.7218956743101656e-04    1.6493615530064096e-05	0.755	3.2425
            975.4000               0.0010    2.1399658183307913e-04    1.6753342017831774e-05	0.755	3.2425
           1010.5000               0.0010    1.3667517338875952e-04    3.3743132610561345e-05	0.755	3.2425
           1020.2000               0.0010    1.5261837820771906e-04    1.6868007009339793e-05	0.755	3.2425
           1036.0000               0.0010    3.3736407928077253e-04    7.1021193290488660e-05	0.755	3.2425
           1065.2000               0.0010    2.0835639577779084e-04    1.7079397073425799e-05	0.755	3.2425
           1110.2000               0.0010    1.8776162514079909e-04    1.6255876145589106e-05	0.755	3.2425
           1119.4000               0.0010    1.4596570658865484e-04    4.4906043946689942e-05	0.755	3.2425
           1155.4000               0.0010    1.4832243069803347e-04    1.6119981308087970e-05	0.755	3.2425
           1188.8000               0.0010    1.2325587605850719e-04    4.4096564468343343e-05	0.755	3.2425
           1249.0000               0.0010    1.5042514338706577e-04    5.4745313401709354e-05	0.755	3.2425
           1258.6000               0.0010    1.3796522500999950e-04    4.5849470810014348e-05	0.755	3.2425
           1357.8000               0.0010    1.0407931656003702e-04    3.2193897291498747e-05	0.755	3.2425
           1587.0000               0.0010    1.0118674638173719e-04    2.5894981332017925e-05	0.755	3.2425
           1904.2000               0.0010    1.0407931656003702e-04    3.3029480554573414e-05	0.755	3.2425
           2362.1000               0.0010    3.3393567987360233e-05    1.0786170931074453e-05	0.755	3.2425
           2520.0000               0.0010    7.5789113939630384e-05    5.3051310253697193e-06	0.755	3.2425
           2759.9000               0.0010    6.8613066425069494e-05    6.0667172537512002e-06	0.755	3.2425
           2936.5000               0.0010    6.2080388833226009e-05    1.7913358358254803e-05	0.755	3.2425
           3412.8000               0.0010    7.0807168741661542e-05    1.5438497344605840e-05	0.755	3.2425
           3938.7000               0.0010    6.9489122762949842e-05    1.4747281114007062e-05	0.755	3.2425
