T_start(s)	Mag	MagErr	Filter	Telescope	Source
176000.0	19.81	0.05	H	GROND	filgas11
262000.0	20.0	0.05	H	GROND	filgas11
435000.0	21.48	0.08	H	GROND	filgas11
522000.0	21.6	100.0	H	GROND	filgas11
781000.0	21.48	100.0	H	GROND	filgas11
1900000.0	21.35	100.0	H	GROND	filgas11
2420000.0	21.63	100.0	H	GROND	filgas11
5190.0	21.92	100.0	H	GROND	filgas11
425.0	16.92	0.15	KS	GROND	filgas11
628.0	17.19	0.2	KS	GROND	filgas11
1410.0	18.01	0.12	KS	GROND	filgas11
2070.0	18.23	0.11	KS	GROND	filgas11
3320.0	18.38	0.1	KS	GROND	filgas11
5000.0	18.63	0.08	KS	GROND	filgas11
90300.0	19.0	0.05	KS	GROND	filgas11
176000.0	19.39	0.05	KS	GROND	filgas11
262000.0	19.91	0.08	KS	GROND	filgas11
435000.0	20.28	100.0	KS	GROND	filgas11
522000.0	20.56	100.0	KS	GROND	filgas11
781000.0	20.55	100.0	KS	GROND	filgas11
1900000.0	20.57	100.0	KS	GROND	filgas11
2420000.0	20.9	100.0	KS	GROND	filgas11
5190.0	20.97	100.0	KS	GROND	filgas11
184.0	16.67	0.02	white	UVOT	Source7611
740.0	17.67	0.15	white	UVOT	Source7611
440.0	17.64	0.1	v	UVOT	Source7611
1180.0	18.64	0.22	v	UVOT	Source7611
727.0	18.82	0.71	b	UVOT	Source7611
796.0	17.67	0.27	u	UVOT	Source7611
682.0	17.42	0.27	uvw1	UVOT	Source7611
810.0	18.07	0.47	uvm2	UVOT	Source7611
762.0	17.92	0.36	uvw2	UVOT	Source7611
31500.0	19.0	0.15	RC	FTN	Source7626
32000.0	18.91	0.05	IC	FTN	Source7626
33100.0	19.15	0.05	IC	FTN	Source7626
34300.0	19.22	0.06	IC	FTN	Source7626
