#t(s) exp m em
1693.0 82.0 18.5518578307 0.0667805281625
1795.0 82.0 18.6427723024 0.072961785224
1897.0 82.0 18.4258323024 0.060637383691
1999.0 81.0 18.5040923024 0.067725323678
2101.0 82.0 18.4426206875 0.059831914871
2204.0 81.0 18.6525923024 0.072013964028
2306.0 82.0 18.5512630635 0.0669338556955
2679.0 354.0 18.6503811156 0.0193609587987
3079.0 357.0 18.7064611156 0.0200584860575
3482.0 353.0 18.8041809866 0.0222909902601
3881.0 358.0 18.80677381 0.0213995668825
4285.0 353.0 18.8420524151 0.0228368596584
4685.0 357.0 18.8915567146 0.0240342376435
5087.0 356.0 18.9779157294 0.0255325876411
5489.0 357.0 18.9809477823 0.0241780254036
5891.0 355.0 19.011159558 0.0259186962546
6552.0 354.0 19.0999604767 0.0284202873337
6952.0 356.0 19.0661411252 0.0291334271993
7354.0 354.0 19.0548868022 0.0302208603675
7754.0 357.0 19.2732607535 0.0381436874419
8157.0 355.0 19.2691598676 0.0405486827221
8558.0 356.0 19.4449998896 0.0446759032745
8962.0 355.0 19.405401106 0.0437111664831
9363.0 356.0 19.3777651 0.0474187941763
1053.937 40.0 18.553097 0.018264
1152.42 40.0 18.591751 0.017928
1268.865 40.0 18.632038 0.024151
1356.506 40.0 18.596027 0.021019
1451.503 40.0 18.661684 0.019267
1539.985 40.0 18.645026 0.018191
1638.975 40.0 18.562837 0.018399
1752.526 40.0 18.503658 0.019659
1844.449 40.0 18.559936 0.01859
1950.141 40.0 18.582699 0.019155
2050.916 40.0 18.464351 0.018201
2138.94 40.0 18.453125 0.018787
2249.529 40.0 18.557653 0.018693
2345.597 40.0 18.6153 0.019293
2443.7 40.0 18.62092 0.023002
2531.124 40.0 18.576694 0.020893
2625.446 40.0 18.679681 0.02119
2721.62 40.0 18.686271 0.019632
2820.692 40.0 18.646026 0.020292
2908.123 40.0 18.701768 0.021289
2999.657 40.0 18.69913 0.019533
3087.393 40.0 18.762451 0.018707
3203.897 40.0 18.712595 0.023097
3315.745 40.0 18.800051 0.023281
3417.123 40.0 18.82779 0.022695
3506.253 40.0 18.828134 0.022258
3631.266 40.0 18.827721 0.022589
3719.739 40.0 18.822058 0.022921
3811.704 40.0 18.89681 0.026061
3908.901 40.0 18.90991 0.024031
4008.868 40.0 18.820442 0.023685
4096.388 40.0 18.8595 0.024898
4188.865 40.0 18.903592 0.024188
4286.002 40.0 18.940812 0.025433
4378.292 40.0 18.874594 0.025639
4468.934 40.0 18.868832 0.025903
4579.121 40.0 18.945192 0.024983
4666.548 40.0 18.961017 0.02532
4768.223 40.0 18.957462 0.028327
4875.671 40.0 18.929341 0.028118
4967.611 40.0 19.017155 0.027558
5075.46 40.0 19.04712 0.027788
5192.756 40.0 18.93494 0.025283
5291.285 40.0 18.940428 0.026063
5383.472 40.0 18.967853 0.025828
5479.666 40.0 18.988923 0.026912
5579.631 40.0 18.915238 0.027843
5666.986 40.0 18.964024 0.0282
5777.381 40.0 18.991725 0.023857
5873.848 40.0 19.003352 0.024095
5989.187 40.0 18.985637 0.029966
6076.737 40.0 18.963887 0.027914
6168.604 40.0 19.024058 0.026877
6256.111 40.0 19.043683 0.025042
6354.862 40.0 19.047734 0.026467
6466.044 40.0 19.003666 0.033438
6576.019 40.0 19.046201 0.025208
6664.658 40.0 19.079399 0.027181
6763.832 40.0 19.056749 0.026639
6852.306 40.0 19.077125 0.027777
6944.341 40.0 19.135964 0.027079
7040.335 40.0 19.156147 0.027308
7138.578 40.0 19.099246 0.028348
7224.782 40.0 19.093802 0.029582
7317.949 40.0 19.102111 0.027357
7414.865 40.0 19.176496 0.028697
7532.022 40.0 19.159868 0.030245
7620.526 40.0 19.131208 0.028778
7712.956 40.0 19.155433 0.029047
7819.503 40.0 19.190697 0.027171
7918.907 40.0 19.191647 0.028591
82425.772 10240.0 23.418205 0.102811
