Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
           1883.0000               0.0010    1.3631416213498966e-15    4.1011183129648209e-16
           1910.6000               0.0010    2.2904593147722179e-15    6.7682305014407466e-16
           1925.0000               0.0010    2.2196953980242594e-15    5.4558444344950412e-16
           1928.9000               0.0010    2.0467697093567951e-15    4.5161932789035742e-16
           1983.0000               0.0010    1.9822744391766893e-15    4.9302908740406003e-16
           1999.0000               0.0010    2.7062990365229721e-15    1.2859477821462895e-15
           2017.8000               0.0010    2.1498105085181213e-15    5.3738925888716898e-16
           2024.0000               0.0010    2.0945647059567512e-15    4.6138215893169973e-16
           2041.0000               0.0010    1.1800852376237546e-15    3.7060119815332630e-16
           2043.0000               0.0010    2.0701403058012288e-15    1.3346688168146668e-16
           2067.0000               0.0010    1.9220902721171603e-15    5.0338545091729842e-16
           2074.2000               0.0010    2.0310816432817706e-15    4.5730908879730365e-16
           2136.0000               0.0010    1.3651531593267776e-15    4.1651658208774113e-16
           2152.0000               0.0010    2.2901070401645396e-15    1.2163471174648269e-15
           2182.8000               0.0010    2.4668740831405458e-15    7.2845348445073932e-16
           2195.0000               0.0010    1.7096679878360579e-15    2.9185959180722427e-16
           2199.0000               0.0010    2.2044476078586696e-15    5.6803971007165856e-16
           2221.0000               0.0010    1.7377999486695851e-15    1.2804583589136975e-16
           2283.9000               0.0010    1.8243534419047902e-15    3.2404310485132335e-16
           2375.0000               0.0010    1.5636537091417268e-15    2.7401364331804765e-16
           2399.0000               0.0010    1.2359468012436687e-15    1.0245141943934736e-16
           2536.4000               0.0010    2.0798431359009633e-15    6.1892485322811972e-16
           2557.1000               0.0010    1.3198597296776268e-15    3.4124144531805564e-16
           2558.9000               0.0010    1.2129524547088063e-15    2.8103751841753204e-16
           2646.0000               0.0010    1.1990789464429506e-15    3.1203931328765569e-16
           2648.9000               0.0010    1.2129524547088063e-15    2.8304482807964082e-16
           2665.0000               0.0010    8.4722697600698264e-16    6.2425992367869526e-17
           2736.0000               0.0010    1.1990789464429506e-15    3.1729988843156734e-16
           2740.0000               0.0010    1.2036554252636542e-15    2.7733612924278424e-16
           2790.9000               0.0010    1.1145166918362832e-15    2.6157623618379272e-16
           2825.0000               0.0010    1.0466507205817591e-15    2.8489177437991052e-16
           2964.0000               0.0010    6.6069310388953966e-16    6.0852085434205559e-17
           3093.7000               0.0010    1.0088127826530582e-15    1.7157609211747216e-16
           3239.6000               0.0010    1.3524729208339334e-15    4.1892978304994765e-16
           3293.0000               0.0010    7.5857718149045487e-16    6.2880788169679841e-17
           3512.1000               0.0010    8.3839634309012963e-16    2.2409061742601273e-16
           3632.0000               0.0010    8.3176334073758438e-16    9.9590708069635994e-17
           4011.4000               0.0010    9.5850630990058828e-16    2.5974393374518587e-16
           4059.2000               0.0010    9.0779999466926699e-16    1.5542551545350254e-16
           4126.0000               0.0010    1.3032153245005062e-15    4.0930398175267527e-16
           4550.5000               0.0010    9.1244390791789352e-16    2.1875356307346032e-16
           4825.6000               0.0010    9.1244390791789352e-16    2.1431494910657469e-16
           4878.3000               0.0010    1.0431399463893882e-15    3.3254882393339346e-16
           5801.9000               0.0010    9.2832869741467609e-16    2.4260477765745498e-16
           5943.0000               0.0010    6.8289978189681216e-16    1.6856336740775845e-16
           6149.0000               0.0010    8.7341083579745808e-16    3.4713932303128069e-16
           6555.0000               0.0010    4.6220407648128184e-16    1.2177741903377292e-16
           6926.5000               0.0010    4.9684825854609513e-16    1.3652415404772739e-16
           7372.0000               0.0010    4.2276027420094469e-16    1.1905543895704758e-16
           7431.6000               0.0010    5.0956896786107978e-16    1.4029475665996521e-16
           7519.1000               0.0010    6.5849210716719259e-16    2.2922135602163828e-16
           7548.4000               0.0010    4.5172255025668963e-16    8.3359642311621301e-17
           7578.0000               0.0010    6.3983467674989803e-16    2.6278737001547046e-16
           7947.0000               0.0010    3.7529412870583875e-16    1.3814012919420032e-16
           9335.1000               0.0010    4.0055353656680385e-16    9.9931545963301726e-17
           9971.9000               0.0010    4.7156348826686557e-16    1.6596002189154790e-16
          10653.8000               0.0010    2.7311438056461419e-16    6.3743479482198460e-17
          11327.2000               0.0010    3.9136660996547314e-16    1.1033360895244260e-16
          11833.2000               0.0010    5.5931513664705250e-16    1.8916489506661744e-16
          11836.5000               0.0010    3.2792926020082739e-16    8.3936446951415810e-17
          13730.0000               0.0010    1.6595860088866595e-16    3.5156310654432868e-17
          14409.2000               0.0010    3.1535822972499484e-16    9.5048760528682462e-17
          14733.0000               0.0010    1.0764646238550406e-16    1.9829211739034159e-17
          18360.0000               0.0010    1.5422975347006998e-16    4.6200117735308864e-17
          21710.0000               0.0010    2.8674784874526468e-16    7.1856017249617225e-17
