# t(s)	flux(erg)	err		beta(from Wang 2015)	z
3507.598	2.36182E-12	2.39285E-13	0.51		2.1992
3567.594	2.49601E-12	2.7587E-13	0.51		2.1992
3627.59	1.82493E-12	2.52124E-13	0.51		2.1992
3687.595	2.31871E-12	2.7763E-13	0.51		2.1992
3747.591	2.19405E-12	2.42496E-13	0.51		2.1992
3807.596	2.001E-12	2.58018E-13	0.51		2.1992
3868.594	2.29745E-12	2.75084E-13	0.51		2.1992
3928.591	2.0382E-12	2.62816E-13	0.51		2.1992
3988.595	1.80821E-12	2.66467E-13	0.51		2.1992
4048.592	2.36182E-12	2.39285E-13	0.51		2.1992
4108.597	2.0382E-12	2.2527E-13	0.51		2.1992
4168.593	2.23484E-12	2.67588E-13	0.51		2.1992
4228.598	1.98265E-12	2.92175E-13	0.51		2.1992
4288.594	1.7428E-12	2.56828E-13	0.51		2.1992
4348.599	1.60416E-12	2.51172E-13	0.51		2.1992
4408.595	2.42799E-12	2.45989E-13	0.51		2.1992
4468.591	1.67976E-12	2.93952E-13	0.51		2.1992
4528.596	1.79163E-12	3.3003E-13	0.51		2.1992
4588.592	1.79163E-12	2.80525E-13	0.51		2.1992
4648.597	1.98265E-12	2.37392E-13	0.51		2.1992
4708.593	1.63398E-12	2.85941E-13	0.51		2.1992
4768.598	1.37166E-12	2.77936E-13	0.51		2.1992
4829.596	1.38435E-12	3.18759E-13	0.51		2.1992
4889.592	1.85886E-12	3.25294E-13	0.51		2.1992
4949.597	1.16211E-12	2.88992E-13	0.51		2.1992
5009.593	1.28602E-12	2.72428E-13	0.51		2.1992
5069.598	1.29792E-12	2.86902E-13	0.51		2.1992
5129.594	1.51792E-12	2.6563E-13	0.51		2.1992
5189.59	1.18372E-12	3.37975E-13	0.51		2.1992
5249.595	1.63398E-12	2.85941E-13	0.51		2.1992
5309.591	1.60416E-12	3.25047E-13	0.51		2.1992
5369.596	1.2395E-12	3.08238E-13	0.51		2.1992
5429.592	1.89342E-12	2.96464E-13	0.51		2.1992
5489.597	2.15401E-12	4.76139E-13	0.51		2.1992
5549.593	1.46301E-12	2.96446E-13	0.51		2.1992
5609.598	1.30993E-12	3.74011E-13	0.51		2.1992
5669.594	1.53196E-12	3.95077E-13	0.51		2.1992
5729.59	1.84182E-12	4.24095E-13	0.51		2.1992
5850.593	1.4496E-12	8.94535E-13	0.51		2.1992
5910.598	1.43631E-12	3.83638E-13	0.51		2.1992
5970.594	1.25097E-12	6.45224E-13	0.51		2.1992
6030.59	1.16211E-12	5.67281E-13	0.51		2.1992
27751.68	2.15401E-13	5.95174E-15	0.51		2.1992
29592	2.09531E-13	5.78954E-15	0.51		2.1992
31371.84	1.84182E-13	1.01783E-14	0.51		2.1992
32693.76	1.84182E-13	1.01783E-14	0.51		2.1992
33963.84	1.75892E-13	9.72017E-15	0.51		2.1992
34568.64	1.6491E-13	9.11327E-15	0.51		2.1992
36149.76	1.71099E-13	4.72764E-15	0.51		2.1992
38836.8	1.56044E-13	4.31165E-15	0.51		2.1992
87661.44	4.9802E-14	1.83477E-15	0.51		2.1992
89156.16	5.07279E-14	2.3361E-15	0.51		2.1992
101545.9	3.60785E-14	1.66147E-15	0.51		2.1992
102945.6	3.77787E-14	1.73977E-15	0.51		2.1992
115706.9	3.29039E-14	1.81834E-15	0.51		2.1992
176186.9	1.87606E-14	1.38233E-15	0.51		2.1992
197985.6	1.47655E-14	3.94386E-15	0.51		2.1992
201994.6	1.22814E-14	1.24427E-15	0.51		2.1992
262699.2	9.9368E-15	1.18978E-15	0.51		2.1992
348433.9	5.77094E-15	4.25218E-16	0.51		2.1992
606009.6	2.34017E-15	3.01753E-16	0.51		2.1992
