COATLI observations of GRB 180205A
ti (s)	mag (AB)	mag err		filter
2624.7	17.683		0.029		w
2719.7	17.762		0.030		w
2810.7	17.653		0.029		w
2901.7	17.738		0.032		w
3004.7	17.744		0.032		w
3096.7	17.870		0.034		w
3187.7	17.870		0.033		w
3290.7	17.846		0.033		w
3390.7	17.832		0.033		w
3481.7	17.885		0.036		w
3842.7	17.905		0.034		w
3934.7	17.815		0.034		w
4118.7	17.961		0.036		w
4221.7	17.959		0.036		w
4313.7	18.025		0.039		w
4407.7	17.917		0.035		w
4520.7	17.906		0.034		w
4623.7	18.071		0.039		w
4714.7	17.886		0.034		w
5024.7	18.081		0.038		w
5270.7	18.032		0.038		w
5455.7	17.976		0.037		w
5547.7	17.876		0.034		w
5638.7	18.057		0.038		w
5913.7	18.150		0.041		w
6224.7	18.043		0.037		w
6315.7	18.185		0.041		w
6414.7	18.157		0.043		w
6515.7	18.276		0.046		w
6606.7	18.302		0.045		w
6802.7	18.317		0.048		w
6911.7	18.150		0.042		w
7006.7	18.369		0.046		w
7102.7	18.242		0.043		w
7206.7	18.329		0.047		w
7345.7	18.328		0.046		w
7436.7	18.499		0.052		w
7536.7	18.544		0.056		w
7637.7	18.668		0.063		w
7728.7	18.565		0.058		w
10806.	18.871		0.064		w
11279.	18.881		0.062		w
11767.	19.158		0.080		w
12230.	19.152		0.080		w
12957.	19.177		0.083		w
13456.	19.321		0.091		w
13943.	19.167		0.083		w
14447.	19.176		0.087		w
14949.	19.177		0.087		w
15412.	19.169		0.086		w
15902.	19.272		0.096		w
16395.	19.227		0.099		w
17577.	19.083		0.087		w
18080.	19.346		0.108		w
18657.	19.311		0.099		w
22264.	19.505		0.146		w
22925.	19.343		0.143		w
78412.	20.309		0.042		w
164722	21.122		0.171		w
251164	21.280		0.076		w
337589	21.498		0.091		w
424008	21.497		0.101		w
