time	flux	flux_err	band
4173.0	1.564464942783506e-12	1.2445385617557994e-13	I
4326.0	1.413727922203304e-12	1.1246266163577098e-13	I
4478.0	1.2541972255685942e-12	1.1035576115992977e-13	I
4630.0	1.387924479613013e-12	1.2212230999853738e-13	I
4783.0	1.0823453003345486e-12	1.1325145425680288e-13	I
4935.0	1.2658021696144756e-12	1.2196070520580627e-13	I
5107.0	1.1126686089445099e-12	1.1642434076251797e-13	I
5482.0	9.085855712281742e-13	8.754269795615716e-14	I
5674.0	9.34040775465114e-13	9.773357552703317e-14	I
5886.0	9.690938460777497e-13	9.337270208206932e-14	I
6099.0	7.769012777645263e-13	9.398756125482256e-14	I
6346.0	8.597374317768633e-13	7.56475749963521e-14	I
6628.0	9.085855712281742e-13	8.754269795615716e-14	I
6930.0	9.78060761033122e-13	1.0233961703744515e-13	I
7290.0	5.474769457123829e-13	1.0451559404178864e-13	I
