Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
  489852.00 -9. -9. -9. 2700. RC  23.01 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn       
  576252.00 -9. -9. -9. 5900. RC  23.7  100.    -9.  -9. -9.  D1.5 fynbo06 1 NNN 0. 0. 0 nnn 
  662652.00 -9. -9. -9. 2700. RC  24.1  100.    -9.  -9. -9.  D1.5 fynbo06 1 NNN 0. 0. 0 nnn 
  749052.00 -9. -9. -9. 8100. RC  24.2  100.    -9.  -9. -9.  D1.5 fynbo06 1 NNN 0. 0. 0 nnn 
  921852.00 -9. -9. -9. 3600. RC  24.0  100.    -9.  -9. -9.  D1.5 fynbo06 1 NNN 0. 0. 0 nnn 
 1008252.00 -9. -9. -9. 3600. RC  24.4  100.    -9.  -9. -9.  D1.5 fynbo06 1 NNN 0. 0. 0 nnn 
 1094652.00 -9. -9. -9. 7000. RC  24.3  100.    -9.  -9. -9.  D1.5 fynbo06 1 NNN 0. 0. 0 nnn 
 1198332.00 -9. -9. -9. 2700. RC  24.1  100.    -9.  -9. -9.  D1.5 fynbo06 1 NNN 0. 0. 0 nnn 
 1284732.00 -9. -9. -9. 3600. RC  24.1  100.    -9.  -9. -9.  D1.5 fynbo06 1 NNN 0. 0. 0 nnn 
 1716732.00 -9. -9. -9. 2880. RC  24.6  100.    -9.  -9. -9.  D1.5 fynbo06 1 NNN 0. 0. 0 nnn 
 1803132.00 -9. -9. -9. 3300. RC  23.9  100.    -9.  -9. -9.  D1.5 fynbo06 1 NNN 0. 0. 0 nnn 
 2839932.00 -9. -9. -9. 6300. RC  24.0  100.    -9.  -9. -9.  D1.5 fynbo06 1 NNN 0. 0. 0 nnn 
 1546.6   -9. -9. 1.d-3 -9.   RC  20.371    0.340   -9.  -9. -9.  	SSO	 xu09schmidt06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
  909.4   -9. -9. 1.d-3 -9.   RC  20.031    0.220   -9.  -9. -9.  	SSO	 xu09schmidt06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
 2263.7   -9. -9. 1.d-3 -9.   RC  20.031    0.220   -9.  -9. -9.  	SSO	 xu09schmidt06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
 2617.9   -9. -9. 1.d-3 -9.   RC  20.031    0.220   -9.  -9. -9.  	SSO	 xu09schmidt06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
 6160.3   -9. -9. 1.d-3 -9.   RC  19.181    0.100   -9.  -9. -9.  	SSO	 xu09schmidt06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
10264.3   -9. -9. 1.d-3 -9.   RC  19.281    0.110   -9.  -9. -9.  	SSO	 xu09schmidt06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
13893.1   -9. -9. 1.d-3 -9.   RC  19.181    0.100   -9.  -9. -9.  	SSO	 xu09schmidt06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
17003.5   -9. -9. 1.d-3 -9.   RC  19.071    0.100   -9.  -9. -9.  	SSO	 xu09schmidt06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
20969.3   -9. -9. 1.d-3 -9.   RC  18.871    0.100   -9.  -9. -9.  	SSO	 xu09schmidt06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
25002.4   -9. -9. 1.d-3 -9.   RC  19.001    0.170   -9.  -9. -9.  	Watcher	 xu09 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
26686.4   -9. -9. 1.d-3 -9.   RC  18.661    0.110   -9.  -9. -9.  	Watcher	 xu09 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
31720.0   -9. -9. 1.d-3 -9.   RC  19.051    0.100   -9.  -9. -9.  	Watcher  xu09 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
