time	flux	flux_err	band
518.0	1.3984511109832019e-11	6.294066808080514e-13	R
522.7	1.5333711515652943e-11	6.901307020128802e-13	R
526.2	1.4244502582622017e-11	7.658248937740535e-13	R
528.6	1.5475592601440008e-11	8.320117877999455e-13	R
530.9	1.4244502582622017e-11	7.658248937740535e-13	R
533.3	1.4509327657773413e-11	7.800626415557091e-13	R
535.6	1.4113908197969439e-11	7.588037689454718e-13	R
538.0	1.3729265016217704e-11	7.381242596331743e-13	R
540.3	1.3355104429023967e-11	7.18008324360599e-13	R
542.6	1.57633053488608e-11	8.47480041812534e-13	R
545.0	1.5475592601440008e-11	8.320117877999455e-13	R
547.3	1.519313120347905e-11	8.168258612410096e-13	R
549.7	1.3729265016217704e-11	7.381242596331743e-13	R
552.0	1.3984511109832019e-11	7.518470141761718e-13	R
554.4	1.437630534223804e-11	7.729109842708322e-13	R
556.7	1.3478677688847963e-11	7.246519735880185e-13	R
559.1	1.3478677688847963e-11	7.246519735880185e-13	R
561.4	1.4643580813640063e-11	7.872804723107027e-13	R
563.8	1.3355104429023967e-11	7.18008324360599e-13	R
566.1	1.4509327657773413e-11	7.800626415557091e-13	R
568.5	1.4779076198663408e-11	7.945650888313895e-13	R
570.8	1.3355104429023967e-11	7.18008324360599e-13	R
573.1	1.2872037262222359e-11	6.920372622223589e-13	R
575.5	1.3355104429023967e-11	7.18008324360599e-13	R
577.8	1.2872037262222359e-11	6.920372622223589e-13	R
580.2	1.3603394357967208e-11	7.313570957448732e-13	R
582.5	1.2521238511180437e-11	6.731773255770124e-13	R
584.9	1.311134630201139e-11	7.049031955122719e-13	R
587.2	1.2637096104663368e-11	6.794061586799818e-13	R
589.6	1.2292700152414004e-11	6.608904546729253e-13	R
593.1	1.2521238511180437e-11	5.635485651970502e-13	R
596.6	1.3232664095655847e-11	7.114255844754103e-13	R
599.0	1.311134630201139e-11	7.049031955122719e-13	R
601.3	1.1739437507739961e-11	7.329869178023411e-13	R
603.6	1.218e-11	6.548313745646658e-13	R
606.0	1.2521238511180437e-11	6.731773255770124e-13	R
609.5	1.2068333088793897e-11	5.43164463358563e-13	R
613.0	1.195768994598341e-11	7.466141620297952e-13	R
615.4	1.195768994598341e-11	6.42879355003787e-13	R
617.7	1.2406443106499118e-11	6.670055987591833e-13	R
620.1	1.1631809697741079e-11	7.262668533470479e-13	R
622.4	1.195768994598341e-11	7.466141620297952e-13	R
624.8	1.1739437507739961e-11	7.329869178023411e-13	R
627.1	1.1739437507739961e-11	7.329869178023411e-13	R
630.6	1.110829202335498e-11	5.972133115532836e-13	R
635.3	1.110829202335498e-11	5.972133115532836e-13	R
638.8	1.2068333088793897e-11	7.535224978142738e-13	R
641.2	1.1314810590979624e-11	7.06474065314574e-13	R
643.5	1.2872037262222359e-11	6.920372622223589e-13	R
647.0	1.0805560226622353e-11	5.80937590816104e-13	R
650.5	1.110829202335498e-11	6.935794604195495e-13	R
654.1	1.100645058993762e-11	5.917380270021896e-13	R
657.6	1.141950524435721e-11	7.13010989357061e-13	R
659.9	1.141950524435721e-11	7.13010989357061e-13	R
663.5	1.100645058993762e-11	5.917380270021896e-13	R
667.0	1.1739437507739961e-11	7.329869178023411e-13	R
669.3	1.2406443106499118e-11	6.670055987591833e-13	R
671.7	1.1848061185603424e-11	7.397691622484443e-13	R
674.0	1.218e-11	6.548313745646658e-13	R
676.4	1.1211075783953615e-11	6.999970721519192e-13	R
679.9	1.1848061185603424e-11	5.332505946238005e-13	R
684.6	1.041471256293543e-11	5.599245109427457e-13	R
689.3	1.0511078711801696e-11	5.651054286540627e-13	R
694.0	1.0805560226622353e-11	5.80937590816104e-13	R
697.5	1.0905542844394052e-11	6.809202085878029e-13	R
701.0	1.0805560226622353e-11	5.80937590816104e-13	R
705.7	1.0511078711801696e-11	5.651054286540627e-13	R
710.4	9.854788051992684e-12	5.298213798135932e-13	R
715.1	1.0319229904232463e-11	5.547910921705325e-13	R
719.8	9.76443881206193e-12	5.249639482064928e-13	R
723.3	1.1314810590979624e-11	7.06474065314574e-13	R
726.8	9.674917898941736e-12	5.20151049800005e-13	R
731.5	9.945973283147633e-12	5.347237566820006e-13	R
736.2	1.0319229904232463e-11	5.547910921705325e-13	R
740.9	1.0319229904232463e-11	5.547910921705325e-13	R
745.5	1.041471256293543e-11	5.599245109427457e-13	R
750.2	9.854788051992684e-12	5.298213798135932e-13	R
753.8	1.1848061185603424e-11	7.397691622484443e-13	R
757.3	1.0130882732030531e-11	5.446650135442314e-13	R
762.0	9.854788051992684e-12	5.298213798135932e-13	R
766.7	8.905274036828022e-12	4.787728110353766e-13	R
771.4	8.98767352297244e-12	4.832028413125035e-13	R
776.0	8.504470681659936e-12	4.57224484927428e-13	R
780.7	9.070835442174944e-12	4.876738621551148e-13	R
785.4	9.324966672179109e-12	5.013366784657414e-13	R
790.1	9.324966672179109e-12	5.013366784657414e-13	R
794.8	9.070835442174944e-12	4.876738621551148e-13	R
